entry_id,domain,type,title,content,tags,agents,source
NFR-001,nfr,framework,ISO 25010 Quality Model Overview,ISO/IEC 25010 defines 8 product quality characteristics: Functional Suitability; Performance Efficiency; Compatibility; Usability; Reliability; Security; Maintainability; Portability. Each characteristic contains sub-characteristics used to specify and measure quality attributes.,ISO25010 quality-model characteristics NFR framework,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-002,nfr,definition,ISO 25010 Functional Suitability,Functional Suitability covers 3 sub-characteristics: Completeness (all tasks covered); Correctness (results accurate); Appropriateness (tasks facilitate objectives). Core capability of the system.,functional-suitability completeness correctness appropriateness ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-003,nfr,definition,ISO 25010 Performance Efficiency,Performance Efficiency covers: Time Behavior (response time latency); Resource Utilization (CPU memory disk); Capacity (throughput concurrent users). Measured at P95/P99 percentiles under load.,performance-efficiency time-behavior resource-utilization capacity ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-004,nfr,definition,ISO 25010 Compatibility,Compatibility covers: Co-existence (sharing resources without impact); Interoperability (exchange and use information with other systems). Critical for integration-heavy systems.,compatibility co-existence interoperability ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-005,nfr,definition,ISO 25010 Usability,Usability covers: Learnability; Operability; User Error Protection; UI Aesthetics; Accessibility. New users should complete basic task within 10 minutes; core tasks in 3 clicks.,usability learnability operability accessibility ISO25010 UX,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-006,nfr,definition,ISO 25010 Reliability,Reliability covers: Maturity; Availability; Fault Tolerance; Recoverability. Systems must maintain uptime targets and recover from failures within defined RTO/RPO.,reliability availability fault-tolerance recoverability ISO25010 RTO RPO,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-007,nfr,definition,ISO 25010 Security,Security covers: Confidentiality; Integrity; Non-repudiation; Accountability; Authenticity. Maps to CIA Triad plus AAA (Authentication Authorization Accounting).,security confidentiality integrity non-repudiation accountability authenticity CIA-triad ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-008,nfr,definition,ISO 25010 Maintainability,Maintainability covers: Modularity; Reusability; Analysability; Modifiability; Testability. Code coverage >= 80% unit tests; rollback within 5 minutes.,maintainability modularity reusability testability modifiability ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-009,nfr,definition,ISO 25010 Portability,Portability covers: Adaptability; Installability; Replaceability. System should support deployment across environments without architecture changes.,portability adaptability installability replaceability ISO25010,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-010,nfr,template,NFR Specification Template,Standard NFR template: NFR-[CATEGORY]-[NUMBER]; Title; ISO 25010 mapping; Priority (Critical/High/Medium/Low); Requirement statement using SHALL; Measurement (metric method tool frequency); Targets table (normal/peak); Rationale; Verification.,NFR-template specification SHALL measurement verification priority,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-011,nfr,formula,NFR Writing Pattern - SHALL Statement,"NFR writing pattern: ""The system SHALL [action/behavior] [measurement] under [conditions]."" Example: The system SHALL respond to API requests within 200ms measured at P95 under normal load of 500 concurrent users.",SHALL-pattern NFR-writing measurable conditions performance,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-012,nfr,formula,Response Time Benchmarks by Operation Type,Response time targets by operation: Page load <2s target/<3s max; API response <200ms target/<500ms max; Search query <500ms target/<1s max; Report generation <5s target/<10s max; File upload 10MB <3s target. All measured at P95.,response-time latency benchmarks API page-load search performance,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-013,nfr,formula,Throughput and Capacity Requirements,Capacity targets: 10000 concurrent users; 500 TPS normal/1500 TPS peak for 30min; 30000 RPM at API gateway; 100TB total storage; 10 million daily transactions; 500000 monthly active users. Scale 2x without architecture change; 5x with horizontal scaling.,throughput capacity TPS concurrent-users RPM scaling performance,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-014,nfr,formula,Resource Utilization Limits,Resource utilization targets: CPU <50% normal/<80% max (alert at 70%); Memory <60% normal/<85% max (alert at 75%); Disk <70% normal/<90% max (alert at 80%); Network bandwidth <50%/<80%; Database connections <70%/<90%; Thread pool <60%/<85%.,resource-utilization CPU memory disk network performance,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-015,nfr,formula,Availability SLA Tiers,Availability tiers: Standard 99.0% (87.6hr/yr downtime) for internal tools; Business 99.5% (43.8hr); Premium 99.9% (8.76hr) for customer-facing; Critical 99.95% (4.38hr) for e-commerce; Mission 99.99% (52.6min) for healthcare/banking; Ultra 99.999% (5.26min) for life safety.,availability SLA uptime downtime tiers 99.9 99.99,ba-nfr,docs/knowledge_base/specialized/nfr.md
NFR-016,nfr,formula,Availability Calculation Formula,Availability % = (Total Time - Downtime) / Total Time × 100%. Measured monthly. Excludes scheduled maintenance communicated 48hrs ahead. MTTR and MTBF used as supporting metrics.,availability-formula calculation downtime MTTR MTBF SLA,ba-nfr,docs/knowledge_base/specialized/nfr.md
