entry_id,domain,type,title,content,tags,agents,source
INT-001,integration,template,REST API Contract Template,REST API contract fields: Endpoint (URL path); HTTP Method (GET/POST/PUT/PATCH/DELETE); Request Headers (Content-Type/Authorization); Request Body (JSON schema); Response Body (JSON schema); HTTP Status Codes; Error Response format; Authentication method; Rate limits.,api rest contract template endpoint,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-002,integration,pattern,REST API Endpoint Naming Convention,REST naming rules: use nouns not verbs (/orders not /getOrders); plural for collections (/users); hierarchical for sub-resources (/users/{id}/orders); lowercase with hyphens; version in path or header (/v1/users); avoid deep nesting beyond 3 levels.,rest api naming convention endpoint design,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-003,integration,template,API Error Response Standard,Standard error response: status (HTTP code); code (machine-readable string e.g. RESOURCE_NOT_FOUND); message (human-readable description); details (array of field-level errors); requestId (for tracing); timestamp. Consistent across all endpoints.,api error-response standard format json,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-004,integration,pattern,HTTP Status Code Standards for APIs,"4xx client errors: 400 Bad Request (validation failed); 401 Unauthorized (not authenticated); 403 Forbidden (not authorized); 404 Not Found; 409 Conflict; 422 Unprocessable Entity (business rule violation); 429 Too Many Requests. 5xx: 500 Internal Server Error; 503 Service Unavailable.",api http-status-codes error-handling standards,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-005,integration,template,GraphQL Schema Requirements Template,GraphQL requirements: Query definitions (read operations); Mutation definitions (write operations); Subscription definitions (real-time); Type definitions with field types and nullability; Input types for mutations; Error handling via union types; Pagination (first/after cursor-based).,graphql schema requirements types mutations,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-006,integration,pattern,API Versioning Strategies,Three strategies: URL versioning (/v1/users — simple/cacheable); Header versioning (Accept: application/vnd.api+json;version=1 — clean URLs); Query parameter (/users?version=1 — easy testing). URL versioning recommended for public APIs. Define deprecation policy (min 6 months notice).,api versioning strategy url header backward-compatibility,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-007,integration,pattern,API Backward Compatibility Rules,Backward compatible changes: adding optional fields; adding new endpoints; adding new enum values. Breaking changes: removing fields; changing field types; changing endpoint URLs; removing enum values. Breaking changes require major version bump and migration guide.,api backward-compatibility breaking-changes versioning,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-008,integration,pattern,Webhook Design Pattern Requirements,Webhook requirements: HTTPS endpoint only; payload signature verification (HMAC-SHA256 header); retry logic (exponential backoff — 3 attempts over 24h); event type field in payload; unique event ID for deduplication; delivery order not guaranteed; idempotent handlers required.,webhook design pattern retry idempotent signature,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-009,integration,pattern,Idempotency Requirements for APIs,Idempotency key: client sends unique Idempotency-Key header; server stores result for 24h; repeated requests with same key return cached result without re-processing. Required for: POST payment; POST order; any state-changing operation. Prevents duplicate transactions.,idempotency api payment retry safety,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-010,integration,pattern,Microservice Synchronous Communication,Synchronous patterns: REST over HTTP/HTTPS for request-response; gRPC for high-performance internal services; GraphQL for flexible client queries. Requirements: timeout configuration (p99 latency SLA); circuit breaker pattern; retry with backoff; service discovery integration.,microservice sync rest grpc communication pattern,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-011,integration,pattern,Microservice Asynchronous Communication,Async patterns: message queues (point-to-point — one consumer); pub/sub topics (one-to-many broadcast); event streaming (Kafka — ordered/replayable). Use async when: operation takes > 2 seconds; fire-and-forget acceptable; temporal decoupling needed.,microservice async message-queue pub-sub event-driven,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-012,integration,pattern,Event-Driven Architecture Requirements,EDA requirements: event schema with eventId/eventType/timestamp/source/version/payload; event store for replay capability; at-least-once delivery guarantee; consumer idempotency; dead letter queue for failed events; event versioning strategy; schema registry for compatibility.,event-driven architecture requirements schema kafka,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-013,integration,template,Message Queue Requirements Template,MQ requirements: broker technology (Kafka/RabbitMQ/SQS); queue/topic name convention; message retention period; consumer group configuration; message ordering guarantee (FIFO vs partition-level); max message size; DLQ configuration; monitoring (lag/throughput/error rate).,message-queue kafka rabbitmq requirements template,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-014,integration,pattern,API Rate Limiting Requirements,Rate limiting specification: limit (requests per window); window (second/minute/hour/day); scope (per user/per IP/per API key/global); response headers (X-RateLimit-Limit/Remaining/Reset); HTTP 429 on exceed; retry-after header; burst allowance; rate limit tiers by plan.,api rate-limiting throttling requirements headers,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-015,integration,pattern,OAuth2/OIDC Integration Requirements,OAuth2/OIDC requirements: supported flows (Authorization Code with PKCE for SPA/mobile; Client Credentials for service-to-service); token format (JWT); access token lifetime (15min); refresh token lifetime (30 days); scopes definition; JWKS endpoint for key rotation; token revocation endpoint.,oauth2 oidc jwt authentication integration requirements,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-016,integration,pattern,CORS Policy Requirements,CORS requirements: allowed origins (explicit list — no wildcard in production); allowed methods (GET/POST/PUT/DELETE/OPTIONS); allowed headers (Content-Type/Authorization/X-Request-ID); expose headers (X-Total-Count); max age for preflight cache (86400s); credentials allowed (true/false).,cors policy requirements security api browser,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-017,integration,template,API SLA Requirements Template,API SLA fields: Availability target (99.9%/99.95%/99.99%); p50/p95/p99 latency targets (ms); throughput (requests per second); error rate threshold (<0.1%); measurement window (rolling 30 days); exclusions (planned maintenance); penalty clause; SLA reporting frequency.,api sla availability latency throughput requirements,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-018,integration,template,Integration Testing Requirements,Integration test requirements: test environment parity with production configuration; API contract tests (consumer-driven — Pact); end-to-end flow tests; error scenario coverage (timeout/network failure/invalid auth); test data isolation; stub/mock for third-party APIs; test result reporting.,integration-testing api contract consumer-driven pact,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-019,integration,pattern,Circuit Breaker Pattern Requirements,Circuit breaker states: Closed (normal — requests pass through); Open (failure threshold exceeded — fast fail for N seconds); Half-Open (probe request — if success return to Closed). Requirements: failure threshold (e.g. 5 failures in 30s); timeout duration; fallback response; monitoring/alerting.,circuit-breaker pattern resilience fault-tolerance requirements,ba-writing ba-nfr,expert-knowledge/integration-patterns
INT-020,integration,template,Third-Party API Integration Checklist,Checklist: API documentation reviewed; authentication method documented; rate limits identified and handled; SLA reviewed against system requirements; sandbox environment available; error response format documented; webhook support (if needed); data format compatibility; GDPR data transfer compliance; fallback strategy defined.,third-party api integration checklist due-diligence,ba-writing ba-nfr,expert-knowledge/integration-patterns
