entry_id,domain,type,title,content,tags,agents,source
SOL-001,solution,template,Business Case Template Structure,Business case sections: 1 Executive Summary with key numbers; 2 Problem Statement with current situation and business impact; 3 Proposed Solution with alternatives considered; 4 Cost Analysis initial and ongoing; 5 Benefit Analysis quantifiable and non-quantifiable; 6 Financial Analysis; 7 Risks; 8 Recommendation with approval signatures.,business-case template structure roi,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-002,solution,formula,Simple ROI Calculation Formula,ROI percent equals Total Benefits minus Total Costs divided by Total Costs multiplied by 100. Example: Benefits 500000 minus Costs 200000 divided by Costs 200000 multiplied by 100 equals 150 percent ROI. Decision rule: higher ROI means better investment.,roi formula calculation business-case,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-003,solution,formula,Payback Period Calculation Formula,Payback Period equals Initial Investment divided by Annual Net Cash Flow. Example: Investment 200000 divided by Annual Benefit 80000 equals 2.5 years payback. Shorter payback period means lower risk. Decision rule: payback shorter than project lifecycle is acceptable.,payback-period formula calculation roi investment,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-004,solution,formula,Net Present Value NPV Calculation,NPV equals sum of Cash Flow t divided by 1 plus discount rate to power of t minus Initial Investment. Where r equals discount rate; t equals time period; n equals number of periods. Decision rule: NPV greater than 0 means accept; NPV less than 0 means reject.,npv formula net-present-value calculation roi,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-005,solution,formula,Internal Rate of Return IRR Formula,IRR is the discount rate that makes NPV equal to zero. Decision rule: IRR greater than Hurdle Rate means accept investment. Typical hurdle rate is 10 to 15 percent. Used to compare multiple investment options against company minimum acceptable return threshold.,irr formula discount-rate hurdle-rate roi,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-006,solution,formula,Benefit-Cost Ratio BCR Formula,BCR equals Present Value of Benefits divided by Present Value of Costs. Decision rule: BCR greater than 1 means accept investment. BCR of 2.5 means every dollar spent returns 2.50 dollars in benefit. Higher BCR indicates more efficient investment.,bcr benefit-cost-ratio formula roi calculation,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-007,solution,framework,Value Lifecycle Framework,Four phases: Define Value with business case ROI analysis cost-benefit; Plan Value with success metrics KPIs baseline and targets; Realize Value by tracking benefits reporting progress adjusting; Review Value with post-implementation review lessons learned continuous improvement. Feedback loop connects all phases.,value-lifecycle framework benefits roi,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-008,solution,technique,Labor Cost Savings Quantification,Formula: Hours Saved multiplied by Hourly Rate multiplied by Number of People multiplied by Frequency. Example: 1.5 hours saved per task multiplied by 50 dollars per hour multiplied by 10 people multiplied by 250 working days equals 187500 dollars annual savings. Document all assumptions clearly.,labor-cost savings quantification benefit formula,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-009,solution,technique,Error Reduction Benefit Quantification,Formula: Current Error Rate minus New Error Rate multiplied by Volume multiplied by Cost per Error. Example: 5 percent minus 1 percent multiplied by 10000 transactions multiplied by 100 dollars per error equals 40000 dollars annual savings. Requires baseline measurement of current error rate.,error-reduction benefit quantification formula,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-010,solution,technique,Revenue Increase Benefit Quantification,Formula Option 1: Additional Units multiplied by Price multiplied by Margin. Formula Option 2: Current Revenue multiplied by Expected Percentage Increase. Document assumptions about market conditions and conversion rates. Revenue increases have medium to high uncertainty so use conservative estimates.,revenue-increase benefit quantification formula,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-011,solution,technique,Cost Avoidance Benefit Quantification,Cost avoidance examples: avoiding need to hire additional staff; avoiding regulatory fines; avoiding system replacement costs. Note: cost avoidance is often viewed skeptically by finance stakeholders. Always document assumptions clearly and distinguish from hard cost savings.,cost-avoidance benefit quantification conservative,ba-solution,docs/knowledge_base/specialized/solution.md
SOL-012,solution,template,NPV Calculation Example Table,NPV example with 10 percent discount rate: Year 0 investment negative 200000; Year 1 cash flow 80000 discount factor 0.909 present value 72720; Year 2 cash flow 80000 discount factor 0.826 present value 66080; Year 3 cash flow 80000 discount factor 0.751 present value 60080. NPV negative 1120 means reject.,npv example table calculation discount-rate,ba-solution,docs/knowledge_base/specialized/solution.md
