entry_id,domain,type,title,content,tags,agents,source
MOD-001,modeling,framework,Model Interconnection Map,Models link in sequence: Vision → Glossary + Context Diagram + Business Policies → Actor Table + Event-Response Table + Business Rules → Use Cases → Data Model + State Diagram + Dialog Map → Scenarios → Prioritized Requirements. Each upstream model feeds downstream models.,model interconnection map vision context use cases data model sequence,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-002,modeling,technique,Context Diagram Creation Procedure,Steps: 1) Draw system as single shape at center; 2) Label with product name; 3) Identify external entities from stakeholder list; 4) Draw arrows for data flows (in=receives out=produces); 5) Name flows using business terms from Glossary; 6) Verify each entity has at least one flow; 7) Walk through with stakeholders.,context diagram creation procedure external entities data flows stakeholders,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-003,modeling,technique,Event-Response Table Creation Procedure,Steps: 1) List inflows from Context Diagram; 2) Identify triggering event per inflow; 3) Add temporal events (end of day/month); 4) Add signal events from other systems; 5) For each event define: name type stimulus response source; 6) Number as EVT-001; 7) Map to Use Cases; 8) Verify all context flows covered.,event-response table procedure temporal signal business events use cases,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-004,modeling,technique,Data Model ERD Creation Procedure,Steps: 1) Scan Glossary for nouns → candidate entities; 2) Scan Use Cases for referenced data; 3) Filter by 'do we need to store this?'; 4) Define attributes with PK and data types; 5) Identify relationships with active verbs and cardinality; 6) Resolve M:M with junction entities; 7) Normalize; 8) Build Data Dictionary; 9) Verify with CRUD Matrix.,ERD data model procedure entities attributes relationships normalization CRUD,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-005,modeling,technique,State Diagram Creation Procedure,Steps: 1) Select entities with status attributes from data model; 2) List all possible states; 3) Determine initial and final states; 4) Arrange states in time order; 5) For each transition identify event guard condition and action; 6) Draw state --[event/guard/action]--> new state; 7) Verify every state is reachable; 8) Verify every non-final state has exit.,state diagram procedure lifecycle transitions events guard conditions entity status,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-006,modeling,technique,Use Case Creation Procedure,Steps: 1) Group related events from Event-Response Table; 2) Name UC as verb+noun ('Schedule Job'); 3) Assign primary actor; 4) Define trigger and preconditions; 5) Write Basic Flow with numbered steps alternating actor/system; 6) Identify Alternative Flows ('Na. If condition then...'); 7) Define postconditions; 8) Reference business rules; 9) Verify with scenarios.,use case creation procedure actor basic flow alternative postconditions business rules,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-007,modeling,technique,Business Rules Creation Procedure,Steps: 1) Scan Business Policies; 2) Scan Use Cases for decision points; 3) Scan Data Model for validation rules; 4) Scan State Diagram for guard conditions; 5) Ask 'What must be true before X?'; 6) Write each rule as atomic declarative statement; 7) Categorize as Term/Fact/Constraint/Action Enabler; 8) Assign BR-ID owner date source; 9) Verify no contradictions.,business rules procedure atomic declarative categorize constraint fact action enabler,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-008,modeling,template,Decision Table Construction,Structure: condition rows × rule columns. Cells = condition values (Y/N/enum/dash for irrelevant). Action rows below double line. Steps: 1) List conditions and actions; 2) Create all combinations; 3) Assign actions per combo; 4) Simplify with dash for don't-care; 5) Verify total combinations = product of condition values; 6) Test with real scenarios.,decision table construction conditions rules actions simplification verification,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-009,modeling,technique,Cross-Model Validation Checklist,Checks: Context flows → Events (each flow has event); Events → Use Cases (each event maps to UC); Actors → Use Cases (each actor participates); Use Cases → Data (CRUD matrix all UCs touch data); Data → States (status attributes have state diagrams); States → Events (transitions map to events); Rules → Use Cases (rules referenced in UCs).,cross-model validation checklist context events actors use cases data states rules,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-010,modeling,technique,Thread Testing Scenario Walk-Through,Steps: 1) Select specific scenario path; 2) Check actor exists in Actor Table; 3) Verify trigger matches Event-Response Table; 4) Confirm data referenced exists in Data Model; 5) Validate decision points match Business Rules; 6) Check state changes match State Diagram; 7) Verify dialog navigation matches Dialog Map. Run for happy path edge cases and error scenarios.,thread testing scenario walk-through validation actor event data state dialog,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-011,modeling,framework,CRUD Matrix Completeness Verification,Rows = Use Cases; Columns = Data Entities; Cells = C/R/U/D operations. Verification: every entity has at least one C (who creates it?); at least one R (who reads it?); at least one U (who modifies it?); a D or archive policy. Empty row = UC that touches no data (suspicious). Empty column = unused entity (suspicious or external).,CRUD matrix completeness verification entities use cases create read update delete,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-012,modeling,framework,Model Selection Guide by Project Type,New Development: Vision Context Events Actors Use Cases Data Rules (essential); State Diagrams Dialog Map (recommended). Enhancement: As-Is Context Delta Analysis Modified UCs. COTS Selection: Process Map Actors Use Cases Rules Data UAT Gap Analysis. Bug Fix: Affected Rules Use Cases Regression UAT Impact Trace.,model selection project type new development enhancement COTS bug fix,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-013,modeling,technique,Actor Table Creation Procedure,Steps: 1) List all stakeholder types from stakeholder analysis; 2) Classify as primary (direct user) or secondary (indirect/supporting); 3) For each actor define: name role goals frequency of interaction; 4) Identify which systems are also actors; 5) Remove duplicates and merge similar actors; 6) Validate with stakeholders.,actor table creation procedure primary secondary stakeholder classification,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-014,modeling,technique,Dialog Map Creation Procedure,Steps: 1) Identify all screens/dialogs from use cases; 2) Draw each screen as a node; 3) Draw transitions triggered by user actions; 4) Label transitions with action/event; 5) Identify entry points and exit points; 6) Verify every UC basic flow maps to a navigation path; 7) Check no orphan screens.,dialog map creation procedure screens transitions navigation use cases,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-015,modeling,technique,Scenario Creation Procedure,Steps: 1) Select a Use Case; 2) Choose a path (basic or alternative); 3) Instantiate with specific concrete data (real names real values); 4) Walk through each step substituting concrete data; 5) Check against Data Model for valid data; 6) Verify against Business Rules; 7) Document as Given-When-Then or numbered steps.,scenario creation procedure concrete data use case path BDD given when then,ba-modeling,docs/knowledge_base/specialized/requirements_modeling.md
MOD-016,modeling,definition,ERD Crow's Foot Notation,Cardinality symbols: ──○── = Zero or One (0..1); ──|── = Exactly One (1..1); ──<── = Zero or Many (0..*); ──╟── = One or Many (1..*). Read left to right: 'One Customer has One or Many Orders' drawn as Customer ──|──╟──< Order.,ERD crow's foot notation cardinality zero one many optional mandatory,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-017,modeling,definition,Entity Types in Data Modeling,Strong Entity: exists independently (Customer Order Product). Weak Entity: depends on parent for identity (OrderItem depends on Order). Associative Entity: junction table resolving M:M relationship (OrderItem resolves Order-Product M:M). Each type has different notation and deletion rules.,entity types strong weak associative junction table M:M relationship,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-018,modeling,definition,One-to-One Relationship (1:1),One record in Entity A relates to exactly one record in Entity B and vice versa. Example: Employee has exactly one EmployeeProfile. Implementation: FK in either table or merge into single table. Rare — consider if entities should be merged.,one-to-one relationship 1:1 cardinality FK optional mandatory ERD,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-019,modeling,definition,One-to-Many Relationship (1:N),One record in Entity A relates to zero or many records in Entity B. Each B record belongs to exactly one A. Example: Customer places many Orders. Implementation: FK in the Many side (Order.customer_id references Customer.id). Most common relationship type.,one-to-many relationship 1:N cardinality FK many side customer order,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-020,modeling,definition,Many-to-Many Relationship (M:N),One record in Entity A relates to many B records and vice versa. Example: Order contains many Products; Product appears in many Orders. Implementation: create junction/associative table (OrderItem) with FKs to both sides plus its own attributes (quantity unit_price).,many-to-many relationship M:N junction table associative entity foreign keys,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-021,modeling,technique,First Normal Form (1NF),Rules: each cell contains single atomic value; each record is unique (has primary key); no repeating groups or arrays. Violation example: Products column containing 'Laptop Mouse Keyboard' in one cell. Fix: one row per product per order.,1NF first normal form atomic primary key repeating groups normalization,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-022,modeling,technique,Second Normal Form (2NF),Must be in 1NF. No partial dependencies — all non-key attributes must depend on the FULL primary key (not just part of it). Applies only to tables with composite PKs. Violation: ProductName depending only on ProductID in table keyed by (OrderID ProductID). Fix: move ProductName to Products table.,2NF second normal form partial dependency composite key normalization,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-023,modeling,technique,Third Normal Form (3NF),Must be in 2NF. No transitive dependencies — non-key attribute must not depend on another non-key attribute. Violation: Customer table with CustName and CustCity both depending on CustID — CustCity transitively depends on Order through CustID. Fix: separate Customer table.,3NF third normal form transitive dependency non-key normalization,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-024,modeling,framework,Data Modeling Three Levels,Conceptual Model: business view — entities relationships business rules — audience: stakeholders. Logical Model: data architect view — attributes keys cardinality normalization — technology-agnostic. Physical Model: DBA view — tables columns types indexes constraints — database-specific SQL.,data modeling levels conceptual logical physical ERD architect DBA,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-025,modeling,template,Data Dictionary Structure,Per entity: Entity Name; Description; Aliases; Owner; Source Systems. Per attribute: Name; Type; Size; Required (Y/N); Unique (Y/N); Key type (PK/FK/AK); Description; Domain values; Validation rules. Business Rules section lists BR-IDs that govern this entity. Audit requirements documented.,data dictionary structure entity attributes PK FK domain values validation rules,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-026,modeling,pattern,Data Modeling Anti-Patterns,Anti-patterns to avoid: 1) EAV (Entity-Attribute-Value) — unmaintainable for typed data; 2) Storing calculated values — causes sync bugs; 3) Comma-separated values in one column — violates 1NF; 4) Using natural keys as PK — fragile to business changes; 5) No audit trail — compliance risk.,data modeling anti-patterns EAV calculated values natural key audit trail,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-027,modeling,pattern,Inheritance Patterns in Data Modeling,Three approaches: 1) Single Table Inheritance — all subtype columns in one table with type discriminator (simple but sparse); 2) Class Table Inheritance — base table + subtype tables with shared PK (normalized but joins); 3) Concrete Table Inheritance — separate table per subtype (no joins but no polymorphic queries).,inheritance patterns single table class table concrete table subtype discriminator,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-028,modeling,checklist,Data Modeling Checklist — Logical Model,Required checks: all attributes defined; primary keys identified; foreign keys established; cardinality documented; normalized to at least 3NF; data types specified; constraints defined; mandatory vs optional clearly marked; unique constraints identified; referential integrity defined.,data modeling checklist logical model attributes PK FK normalization constraints,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-029,modeling,checklist,Data Modeling Checklist — Validation,Validation checks: CRUD matrix complete (no orphan entities); all entities accessed by at least one process; data lifecycle documented; reviewed by data architect; domain values defined for all enumerated attributes; audit requirements captured.,data modeling checklist validation CRUD matrix lifecycle audit domain values,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-030,modeling,framework,DFD Notation Symbols,External Entity: rectangle (actor outside system scope). Process: rounded rectangle numbered 1.0 2.0 (transforms data). Data Store: open rectangle labeled D1 D2 (database or file). Data Flow: labeled arrow showing direction of data movement. Level 0 = Context; Level 1 = decomposed processes.,DFD notation symbols external entity process data store data flow context level,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-031,modeling,definition,BCNF Boyce-Codd Normal Form,Must be in 3NF. For every functional dependency X → Y the determining attribute X must be a superkey. Stricter than 3NF. Used when table has multiple overlapping candidate keys. Rarely needed in practice but important for complex schemas.,BCNF Boyce-Codd normal form functional dependency superkey candidate key,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-032,modeling,framework,Data Lifecycle State Model,Generic lifecycle states: DRAFT (created not active); ACTIVE (in use can be referenced); INACTIVE (temporarily disabled hidden from selection); ARCHIVED (permanently disabled read-only historical). Transitions: DRAFT→ACTIVE→INACTIVE→ARCHIVED. ARCHIVED cannot be reactivated (BR-004).,data lifecycle state model draft active inactive archived transitions business rules,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-033,modeling,pattern,Self-Referencing Relationship Pattern,An entity relates to itself. Example: Employee may have zero or one Manager (who is also an Employee). Implementation: parent_id FK column referencing own PK. On delete: SET NULL (not CASCADE). Represents hierarchies and trees. Crow's Foot: Employee ──|──○──< Employee (self).,self-referencing relationship recursive hierarchy tree parent_id FK employee manager,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-034,modeling,template,Physical Data Model DDL Pattern,Schema: UUID primary key; VARCHAR with explicit sizes; ENUM for status fields; TIMESTAMP with DEFAULT CURRENT_TIMESTAMP; UNIQUE constraint on business keys; INDEX on FK columns and frequently filtered columns. Always separate surrogate PK (UUID) from business alternate key.,physical model DDL pattern UUID VARCHAR ENUM TIMESTAMP INDEX primary key,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
MOD-035,modeling,checklist,Data Dictionary Validation Rules Reference,Standard validations: code fields — alphanumeric uppercase no spaces pattern [A-Z0-9]+; name fields — min 2 max 100 chars; email — RFC 5322 format; phone — E.164 format +[country][number]; amount — Decimal(15 2) >= 0; dates — ISO 8601 format. Document per attribute in data dictionary.,data dictionary validation rules code email phone amount date format constraints,ba-modeling,docs/knowledge_base/specialized/data_modeling.md
