entry_id,domain,type,title,content,tags,agents,source
UXR-001,ux-research,template,User Persona Canvas,Persona template includes: Identity (name/age/role/location/tech-savviness); Background; Goals (primary/secondary); Frustrations; Motivations; Behaviors/Preferences; Scenario; Requirements Implications (Must Have/Should Have/Avoid).,persona user-research template ux requirements,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-002,ux-research,example,Persona Example: Busy Manager Maria,Maria Chen age 38 Regional Sales Manager Medium-High tech savviness. Frustrations: too many systems/outdated reports/poor mobile. Must Have: mobile-first dashboard/real-time data/push notifications. Avoid: complex navigation/long forms.,persona example mobile dashboard requirements,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-003,ux-research,framework,Design Thinking 5-Stage Process,Five stages: Empathize (observe/interview/immerse) → Define (insights/POV/problem statement) → Ideate (brainstorm/crazy 8s) → Prototype (lo-fi/hi-fi/MVP) → Test (usability/feedback/iterate). BA maps to all stages.,design-thinking empathize define ideate prototype test ux,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-004,ux-research,technique,Customer Journey Map - Template Structure,Journey Map rows: Stages (Awareness/Consideration/Purchase/Use/Support); Doing (actions); Thinking (thoughts); Feeling (emotions with curve); Touchpoints; Pain Points; Opportunities. Persona and scenario named at top.,journey-map customer-experience touchpoints pain-points,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-005,ux-research,technique,Journey Map Stage: Awareness,Customer actions: search online/ask peers. Thoughts: need a solution/what is available. Opportunities: clear message/SEO. Pain Points: too many options/jargon. Emotion starts neutral and may dip.,awareness journey-map ux-research touchpoints,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-006,ux-research,technique,Journey Map Stage: Consideration,Customer compares options/reads reviews/requests demo. Thinks: which is best/can I afford it. Pain: pricing unclear/no free trial. Opportunities: comparison page/free trial.,consideration journey-map ux research,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-007,ux-research,technique,Journey Map Stage: Purchase/Sign-Up,Customer fills form/pays/verifies. Thinks: is this secure/what if I change mind. Pain: form too long/payment failed. Opportunities: simple checkout/save progress.,purchase sign-up journey-map ux friciton,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-008,ux-research,framework,Empathy Map Canvas - Four Quadrants,Empathy Map quadrants: SAYS (quotes/statements); THINKS (what is on mind/worries); DOES (actions/behaviors); FEELS (emotions/attitudes). Bottom section: PAINS (fears/obstacles) and GAINS (wants/success measures).,empathy-map ux-research user-perspective qualitative,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-009,ux-research,technique,Empathy Map Says vs Thinks Distinction,SAYS captures verbatim quotes like 'I do not have time for this'. THINKS captures unstated concerns like 'Will this work?' or 'I hope I do not look stupid'. Gap between says and thinks reveals hidden needs.,empathy-map qualitative insight user-research,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-010,ux-research,technique,Empathy Map Pains vs Gains Analysis,PAINS: wasting time on admin/looking incompetent/missing info/making costly mistakes. GAINS: get work done faster/look professional/be informed/make confident decisions. Drive requirement prioritization.,empathy-map pains gains requirements-prioritization,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-011,ux-research,framework,Jobs-To-Be-Done (JTBD) Job Story Format,"JTBD format: WHEN [situation/context/trigger] I WANT TO [motivation/goal] SO I CAN [expected outcome/benefit]. Example: WHEN reviewing sales before meeting I WANT TO identify underperforming regions SO I CAN prepare action plans.",jtbd job-story user-motivation requirements,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-012,ux-research,framework,JTBD Job Map - 8 Steps,Job Map phases: Define → Locate → Prepare → Confirm → Execute → Monitor → Modify → Conclude. Each phase represents a step in completing the core job. Use to identify where system must support user.,jtbd job-map task-analysis user-journey,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-013,ux-research,formula,JTBD Opportunity Scoring Formula,Opportunity Score = Importance + (Importance - Satisfaction). Score > 10 = high opportunity (underserved). Score 5-10 = medium. Score < 5 = low (adequately served). Use to prioritize features by unmet needs.,jtbd opportunity-score prioritization formula requirements,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-014,ux-research,framework,Service Blueprint - 4 Layers,Service Blueprint layers: Customer Actions (visible); Frontstage Actions (visible staff/system); Backstage Actions (invisible system); Support Processes (infrastructure). Separated by Lines: Interaction/Visibility/Internal Interaction.,service-blueprint ux-design frontend backend touchpoints,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-015,ux-research,framework,Usability Metrics ISO 9241-11,Three dimensions: Effectiveness (task completion rate/error rate/accuracy); Efficiency (time on task/clicks/learning time); Satisfaction (SUS score >68=good/NPS/CSAT). All three must be specified in usability requirements.,usability-metrics effectiveness efficiency satisfaction iso-9241,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-016,ux-research,template,Usability Requirement Template,Template: UX-ID / Context ([Persona] performing [task] on [device]) / Requirement ([X]% of users SHALL complete [task] within [time/clicks] on first attempt) / Measurement (N participants / success criteria / SUS score).,usability-requirement template measurement testable,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-017,ux-research,example,Usability Requirement Example: Registration,UX-001: 90% of users SHALL complete registration within 2 minutes with no more than 1 error on first attempt. Measured via usability test with 15 participants. Success: 90% completion/avg <2min/error <10%/SUS>75.,usability-requirement example registration mobile,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-018,ux-research,checklist,UX Requirements Checklist - User Research,User research checklist: personas created and validated; customer journey maps completed; empathy maps for key personas; jobs-to-be-done identified; pain points and opportunities documented.,ux-checklist user-research persona journey-map,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-019,ux-research,checklist,UX Requirements Checklist - Documentation,Documentation checklist: usability requirements are measurable; task scenarios documented; success criteria defined; accessibility requirements specified (WCAG level); device/browser support matrix; error handling UX defined.,ux-checklist documentation measurable accessibility wcag,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-020,ux-research,checklist,UX Requirements Checklist - Validation,Validation checklist: personas reviewed with real users; journey maps validated; prototype testing planned; usability testing criteria defined; success metrics agreed upon by stakeholders.,ux-checklist validation prototype usability-testing,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-021,ux-research,checklist,UX Requirements Checklist - Handoff,Handoff checklist: UX artifacts linked to requirements; design rationale documented; interaction patterns specified; edge cases and error states defined; developer annotations included.,ux-checklist handoff design-rationale interaction-patterns,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-022,ux-research,technique,UX Elicitation Questions - Understanding Users,Key questions: Who are primary users and roles? Technical proficiency level? Context/environment of use? Which devices/browsers must be supported? Any accessibility needs? Language/localization required?,elicitation questions ux users accessibility localization,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-023,ux-research,technique,UX Elicitation Questions - Understanding Tasks,Questions: Top 5 tasks users need? Frequency of each task? Current process and pain points? Acceptable time to complete? Common errors that occur? These define core task scenarios and success metrics.,elicitation questions tasks scenarios ux-research,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-024,ux-research,technique,UX Elicitation Questions - Understanding Context,Context questions: Where physically will users be? Will they be interrupted or multi-tasking? Network environment (offline support needed)? Are there time pressures or stress factors? Impacts NFR requirements.,elicitation context offline mobile interruptions stress-factors,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-025,ux-research,technique,UX Elicitation Questions - Success Metrics,Success questions: How will UX success be measured? What would delightful look like? Competitor products to benchmark against? Biggest usability risk? Defines KPIs and acceptance criteria for UX.,elicitation success-metrics kpi benchmarking usability-risk,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-026,ux-research,technique,Card Sorting Technique,Card sorting asks users to group topics/features into categories that make sense to them. Open card sort: users create own groups. Closed card sort: users sort into predefined groups. Reveals mental models for IA.,card-sorting information-architecture mental-model ux-research,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-027,ux-research,technique,Affinity Diagramming Technique,Affinity diagrams organize large amounts of qualitative data into clusters. Steps: write each observation on sticky note; individually sort without talking; group similar notes; name each cluster; identify patterns and insights.,affinity-diagram qualitative-data clustering ux-research synthesis,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-028,ux-research,technique,User Interview vs Stakeholder Interview,User interview: exploratory/behavioral/open-ended/focused on tasks and frustrations. Stakeholder interview: goals/constraints/success metrics/business context. Different objectives require different question sets.,user-interview stakeholder-interview elicitation differences,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-029,ux-research,technique,Contextual Inquiry Method,Contextual Inquiry: observe and interview users in their own environment while they perform real tasks. Four principles: Context (go to user); Partnership (collaborative); Interpretation (discuss meaning); Focus (pre-defined research questions).,contextual-inquiry observation field-study ux-research,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-030,ux-research,technique,Think-Aloud Protocol,Think-aloud: participants verbalize thoughts while using system. Concurrent think-aloud: during task. Retrospective: after task with recording. Captures cognitive process and reveals hidden usability issues.,think-aloud usability-testing cognitive verbal-protocol,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-031,ux-research,framework,System Usability Scale (SUS),SUS: 10-item questionnaire scored 0-100. Score interpretation: <51=Poor; 51-68=OK; 68-80=Good; 80-90=Excellent; >90=Best. Alternating positive/negative items. Calculate: sum odd items minus 5; sum 25 minus even items; multiply total by 2.5.,sus usability-score measurement questionnaire benchmark,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-032,ux-research,technique,Heuristic Evaluation - Nielsen's 10,Ten heuristics: 1.Visibility of system status; 2.Match with real world; 3.User control/undo; 4.Consistency/standards; 5.Error prevention; 6.Recognition not recall; 7.Flexibility/efficiency; 8.Aesthetic design; 9.Error recovery; 10.Help/documentation.,heuristic-evaluation nielsen usability-review ux-audit,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-033,ux-research,technique,Usability Testing Script Template,Script sections: Introduction and consent; Warm-up questions about background; Task scenarios with realistic context; Post-task questions (difficulty rating/what confused you); Post-test SUS questionnaire; Debrief and open questions.,usability-testing script template facilitation,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
UXR-034,ux-research,framework,WCAG 2.1 Accessibility - 4 Principles (POUR),POUR principles: Perceivable (info available to all senses); Operable (UI usable by all input methods); Understandable (content/operation clear); Robust (compatible with current/future technologies). AA level required for most systems.,wcag accessibility a11y pour compliance requirements,ba-writing ba-validation,docs/knowledge_base/specialized/ux_research.md
