entry_id,domain,type,title,content,tags,agents,source
WRT-001,writing,framework,"Requirement Defect Distribution","56% Incomplete Requirements, 26% Ambiguous Language, 12% Missing Edge Cases, 6% Conflicting Requirements. KEY INSIGHT: 82% of requirement defects are preventable with proper writing techniques and structured reviews.",defect distribution root cause prevention quality,ba-writing ba-validation,docs/knowledge_base/core/writing.md
WRT-002,writing,framework,"Cost of Ambiguity by Stage","Discovery stage cost multipliers — Requirements: 1x, Design: 5x, Development: 10x, Testing: 20x, Production: 100x+. Fix requirements early to minimize cost.",cost ambiguity stage discovery prevention economics,ba-writing ba-solution,docs/knowledge_base/core/writing.md
WRT-003,writing,template,"Requirement Specification Template","Sections: IDENTIFICATION (REQ-ID, Title, Version, Status), DESCRIPTION (EARS Pattern: WHEN trigger the system SHALL action SO THAT value), ACCEPTANCE CRITERIA (Gherkin: Given/When/Then for happy path + edge cases), METADATA (Priority MoSCoW, Source, Author), TRACEABILITY (Parent, Children, Dependencies, Conflicts), NOTES (Rationale, Assumptions, Open Questions).",template specification structure format sections,ba-writing ba-export,docs/knowledge_base/core/writing.md
WRT-004,writing,pattern,"Requirement ID Convention","BR=Business Requirement, SR=Stakeholder Requirement, FR=Functional (FR-AUTH-001), NFR=Non-Functional (NFR-PERF-001), UC=Use Case, US=User Story, BR-DATA=Business Rule Data, BR-PROC=Business Rule Process, INT=Integration (INT-SAP-001). Format: [Category]-[Module]-[Number].",naming convention id format categorization,ba-writing ba-traceability,docs/knowledge_base/core/writing.md
WRT-005,writing,framework,"EARS Patterns for Requirements","6 patterns: (1) UBIQUITOUS — The system SHALL action. (2) EVENT-DRIVEN — WHEN trigger, the system SHALL action. (3) STATE-DRIVEN — WHILE state, the system SHALL action. (4) OPTIONAL — WHERE feature is included, the system SHALL action. (5) UNWANTED — IF condition, THEN the system SHALL action. (6) COMPLEX — WHILE state, WHEN trigger, the system SHALL action.",ears pattern syntax unambiguous functional requirement template,ba-writing ba-nfr,docs/knowledge_base/core/writing.md
WRT-006,writing,checklist,"Ambiguity Detection Word List","ALWAYS scan for these forbidden words and replace with testable metrics: adequate, appropriate, as quickly as possible, easy, efficient, fast, flexible, good, intuitive, lightweight, maximize, minimize, normal, optimal, quick, reasonable, robust, seamless, simple, sufficient, timely, transparent, user-friendly, TBD. Fix pattern: Replace with metric + threshold + measurement method.",ambiguous forbidden words vague testable metric detection scan,ba-writing ba-validation,ebooks/ebook-requirements-memory-jogger.md
WRT-007,writing,template,"SRS Functional Requirement Sentence Pattern","Pattern: [restriction] subject action-verb [observable result] [qualifier]. Where: restriction = condition (When approved / If no contractor), subject = The system or actor, action verb = task performed, observable result = user-visible outcome, qualifier = quality constraint (within 3 seconds). Good: The system shall allow a scheduler to select services. Bad: The system should handle jobs efficiently (ambiguous!).",srs functional requirement sentence pattern template formula,ba-writing,ebooks/ebook-requirements-memory-jogger.md
WRT-008,writing,template,"Feature to FR Hierarchy Pattern","Decompose features into functional requirements using hierarchy: FEATURE: Schedule Jobs → FR-SCH-001: Display available time slots → FR-SCH-002: Allow scheduler to select services → FR-SCH-003: When contractor unavailable suggest alternatives → FR-SCH-004: Send confirmation within 60 seconds. Use continuance patterns (below / as follows / following) to link feature to FRs.",hierarchy decomposition feature functional requirement traceability,ba-writing ba-traceability,ebooks/ebook-requirements-memory-jogger.md
WRT-009,writing,template,"Gherkin Acceptance Criteria Format","Behavioral specification using Given/When/Then: Scenario 1 (Happy Path) — GIVEN precondition WHEN action THEN expected result AND additional result. Scenario 2 (Edge Case) — GIVEN precondition WHEN action THEN expected result. Each user story needs minimum 2 scenarios: happy path + error/edge case. Criteria must be testable and automatable.",gherkin bdd acceptance criteria given when then scenario testable,ba-writing ba-validation ba-agile,docs/knowledge_base/core/writing.md
WRT-010,writing,framework,"INVEST Criteria for User Stories","I=Independent (no dependency on other stories), N=Negotiable (not a contract, open to discussion), V=Valuable (delivers user/business value), E=Estimable (team can size it), S=Small (fits in one sprint), T=Testable (clear acceptance criteria). A story failing any criterion should be rewritten or split.",invest user story quality criteria check agile,ba-writing ba-agile ba-validation,docs/knowledge_base/core/writing.md
WRT-011,writing,framework,"Three Levels of Requirements","Level 1: BUSINESS Requirements — Why are we doing this? (Goals, objectives, vision). Level 2: USER Requirements — What do users need to do? (Use cases, user stories, scenarios). Level 3: SOFTWARE Requirements — How does the system behave? (Functional specs, NFRs, interfaces). Each level traces to the one above. Orphan requirements at any level indicate gold plating or missing context.",levels hierarchy business user software traceability,ba-writing ba-strategy ba-traceability,ebooks/ebook-requirements-memory-jogger.md
WRT-012,writing,template,"Vision Statement Template","Structure: FOR [target customer/user] WHO [statement of need or opportunity] THE [product name] IS [product category] THAT [key benefit compelling reason] UNLIKE [primary competitive alternative] OUR PRODUCT [statement of primary differentiation]. Step 1: Answer each line. Step 2: Combine into one paragraph. Step 3: Circulate for stakeholder revision.",vision statement template product scope strategy,ba-strategy ba-writing ba-agile,ebooks/ebook-requirements-memory-jogger.md
WRT-013,writing,checklist,"Passive Voice Detection","Requirements using passive voice hide the actor and create ambiguity. Bad: Data is validated (By whom? The system? The user?). Bad: The report is generated (When? By what trigger?). Fix: Identify the actor explicitly. Good: The system SHALL validate the input data. Good: WHEN the user clicks Export, the system SHALL generate the report. Always scan for is/are/was/were + past participle patterns.",passive voice actor ambiguity detection grammar,ba-writing ba-validation,docs/knowledge_base/core/writing.md
WRT-014,writing,framework,"Decision Table for Complex Logic","Use when: 4+ conditions with multiple outcomes, complex business rules with exceptions, pricing/discount/eligibility rules. Structure: Conditions (rows) x Rules (columns) matrix. Each column = one rule combination. Actions row shows outcome for that combination. Ensures completeness — 2^N combinations for N binary conditions. Catches missing rules that prose requirements miss.",decision table logic complex business rules conditions,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-015,writing,framework,"RFC 2119 Keyword Standards","SHALL/MUST = absolute requirement (mandatory). SHALL NOT/MUST NOT = absolute prohibition. SHOULD = recommended but exceptions allowed with justification. SHOULD NOT = not recommended but permitted with justification. MAY = truly optional. Use consistently throughout specifications. Never use: will, might, can, could (ambiguous obligation level).",rfc 2119 keywords shall must should may obligation,ba-writing ba-nfr ba-export,docs/knowledge_base/core/writing.md
WRT-016,writing,checklist,"SRS Inspection Checklist","Correctness: Solution-independent? Free from factual errors? Cross-references correct? Clarity: Single interpretation only? Uniquely identified? Consistent detail level? Completeness: All interfaces defined? All inputs/outputs specified? All business rules documented? Quality attributes have metrics? Consistency: No conflicts between requirements? Trade-offs specified? Relevancy: Each requirement necessary? Traceable to origin? Feasibility: Achievable with current tech? Within resources? Verifiability: Can be tested? Test criteria derivable?",inspection checklist srs quality review verification,ba-validation ba-writing,ebooks/ebook-requirements-memory-jogger.md
WRT-017,writing,framework,"Requirements Development Lifecycle","6 steps: (1) Define Vision — stakeholders + scope + vision statement. (2) Develop Models — context diagram + event-response + data models. (3) Analyze Requirements — functional + non-functional + business rules. (4) Specify Requirements — SRS/URD document using templates. (5) Validate Requirements — peer review + UAT + prototype. (6) Manage Requirements — baseline + change control + traceability. Iterative: steps 2-5 repeat as understanding deepens.",lifecycle development process steps iterative,ba-writing ba-master ba-process,ebooks/ebook-requirements-memory-jogger.md
WRT-018,writing,pattern,"User Story Format","As a [role/persona], I want to [action/goal], so that [benefit/value]. Quality checks: Role is specific (not just 'user'). Action is concrete and achievable. Benefit traces to business value. Each story has acceptance criteria in Gherkin. Story fits INVEST criteria. Max 1-2 sprints to implement.",user story format role action benefit agile,ba-writing ba-agile,docs/knowledge_base/core/writing.md
WRT-019,writing,framework,"Quality Attributes Taxonomy","Operational: Performance (response time, concurrent users), Reliability (MTBF, failure rate), Robustness (restart time, failure events%), Security (unauthorized attempts blocked%), Usability (time to competence, error rate). Deployment: Availability (% uptime), Scalability (user growth range), Portability (migration cost), Recoverability (time to restore). Development: Maintainability (time to fix), Testability (cost per defect), Reusability (integration cost). Each attribute needs: Tag, Scale, Meter, Must, Plan, Wish (Planguage).",quality attributes nfr iso 25010 planguage taxonomy operational,ba-nfr ba-writing ba-validation,ebooks/ebook-requirements-memory-jogger.md
WRT-020,writing,framework,"4W+H Requirements Analysis Framework","WHO → Actor models (stakeholders, personas, roles). WHAT → Data models (ERD, data dictionary, glossary). WHEN → State/Event models (state diagrams, event-response tables). WHY → Business rules and policies (decision tables, constraint rules). HOW → Process/Use case models (BPMN, activity diagrams, scenarios). Each W maps to specific analysis models. Complete coverage = all 5 questions answered with appropriate models.",4w1h analysis framework models who what when why how,ba-writing ba-elicitation ba-process ba-master,ebooks/ebook-requirements-memory-jogger.md
WRT-021,writing,framework,"Decision Table When-to-Use Guide","Use Decision Table WHEN: 4+ conditions with multiple outcomes (essential); complex business rules with exceptions (essential); pricing/discount/eligibility rules (essential). Skip for: simple if-then rule (natural language fine); 2-3 conditions with 2-3 outcomes (optional). Key value: reveals missing rule combinations that prose requirements miss.",decision table complex logic business rules conditions matrix,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-022,writing,template,"Decision Table Structure Template","Structure: Rule Name + Purpose header; COLUMNS = Rules (Rule 1..N); ROWS = Conditions then Actions. Condition cells: Y=Yes/N=No/-=Don't care. Action cells: X=Execute. Legend: Y/N/-/X. For N binary conditions: 2^N possible combinations to check. Each column = one rule combination. Ensures completeness — all paths covered.",decision table template structure conditions actions rules completeness,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-023,writing,example,"Decision Table Discount Eligibility Example","Gold Member + Order>$100 → 20% discount + loyalty email. Gold Member + Order<=100 → 10% discount + loyalty email. NOT Gold + Order>$100 → 10% discount. NOT Gold + first purchase → 5% discount. NOT Gold + NOT first + Order<=100 → no discount. Generates 5 EARS-style FRs: FR-DISC-001 to FR-DISC-005.",decision table example discount gold member eligibility pricing,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-024,writing,framework,"State Diagram When-to-Use Guide","Use State Diagrams WHEN: entity has distinct statuses/states; transitions between states have rules; not all transitions are allowed; actions depend on current state. Common examples: Order lifecycle (Draft→Submitted→Approved→Shipped→Delivered); User account (Active→Suspended→Deactivated); Document workflow (Draft→Review→Approved→Published); Ticket/Issue (Open→InProgress→Resolved→Closed).",state diagram lifecycle status workflow entity transitions,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-025,writing,template,"State Transition Table Template","Columns: Current State | Trigger/Event | Next State | Guard Condition. Example Order: DRAFT+Submit→PENDING_APPR (Guard: all required fields set); PENDING_APPR+Approve→APPROVED (Guard: approver has authority); APPROVED+Cancel→CANCELLED (Guard: within 24 hours); PAID+Ship→SHIPPED (Guard: inventory available). Each row generates one functional requirement.",state transition table template guard condition lifecycle,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-026,writing,pattern,"Requirements from State Transitions","Convert state transition table rows to EARS requirements: FR-ORD-010: System SHALL allow order submission only when all required fields populated. FR-ORD-011: System SHALL allow order cancellation within 24 hours of approval. FR-ORD-012: System SHALL prevent state transitions not defined in the State Transition Table. Rule: one FR per transition row.",state transition requirements generation ears pattern functional,ba-writing ba-process,docs/knowledge_base/core/writing.md
WRT-027,writing,framework,"Specification by Example (SBE) Process","5 steps: (1) Derive Scope from Goals — min viable scope; (2) Specify Collaboratively — Three Amigos (BA+Dev+QA) with What-if scenarios; (3) Illustrate with Examples — happy path + edge cases + error scenarios + real data; (4) Refine to Executable Specification — Gherkin scenarios + data tables as living docs; (5) Automate Tests — Cucumber/SpecFlow/Behave.",sbe specification example three amigos bdd living documentation,ba-writing ba-agile ba-validation,docs/knowledge_base/core/writing.md
WRT-028,writing,template,"Gherkin Scenario Outline with Data Tables","Feature: Order Discount Calculation. Background: Given discount rules configured (Gold/$0/10%; Gold/$100/20%; Silver/$50/5%; None/$100/5%). Scenario Outline: Given customer has membership AND order total; When checkout initiated; Then discount applied. Examples table: columns Membership|OrderTotal|ExpectedDiscount|FinalTotal. Runs one test per table row.",gherkin scenario outline data table parameterized bdd automation,ba-writing ba-agile,docs/knowledge_base/core/writing.md
WRT-029,writing,pattern,"Functional Requirement Pattern: Validation","The system SHALL validate [field] as follows: [Rule 1]; [Rule 2]; [Rule 3]. WHEN validation fails the system SHALL: display error message [specific text]; highlight invalid field; prevent form submission. Example: Email — must contain exactly one @; domain must contain at least one dot; max 254 chars; must not be already registered.",validation pattern functional requirement error message field,ba-writing,docs/knowledge_base/core/writing.md
WRT-030,writing,pattern,"Functional Requirement Pattern: CRUD","The system SHALL allow [user role] to: CREATE [entity] with fields [list]; READ [entity] via list view and detail view; UPDATE [entity] fields [updateable list]; DELETE [entity] (soft/hard delete) with confirmation. Example: Administrator manages Product with Name/SKU/Price/Category. DELETE = soft delete with confirmation dialog.",crud pattern functional requirement actor entity fields,ba-writing,docs/knowledge_base/core/writing.md
