entry_id,domain,type,title,content,tags,agents,source
WKS-001,workshop,definition,Requirements Workshop Type,Purpose: elicit and validate requirements. When to use: project kickoff; new features; unclear scope. Typical output: prioritized requirement list; process flow diagrams; action items. Best when stakeholders need structured dialogue to surface conflicting needs and agree on scope.,requirements-workshop type elicitation kickoff,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-002,workshop,definition,JAD Joint Application Design Workshop Type,Purpose: accelerated design with all parties present simultaneously. When to use: complex features needing rapid consensus; decisions requiring both business and technical input. Reduces back-and-forth cycles. Includes business users; IT architects; developers; and BA facilitator in same session.,jad joint-application-design workshop type,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-003,workshop,definition,Brainstorming Workshop Type,Purpose: generate ideas creatively without criticism. When to use: innovation initiatives; new product development; problem-solving sessions where conventional thinking is stuck. Separates idea generation from evaluation. Quantity of ideas over quality in generation phase.,brainstorming workshop type ideation innovation,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-004,workshop,definition,Design Thinking Workshop Type,Purpose: human-centered problem solving through empathy and iteration. When to use: UX improvements; new user experiences; wicked problems. Five phases: Empathize; Define; Ideate; Prototype; Test. Full day format recommended for complete cycle.,design-thinking workshop type ux human-centered,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-005,workshop,definition,Process Mapping Workshop Type,Purpose: document current state and design future state processes. When to use: process improvement initiatives; system replacement; identifying bottlenecks and waste. Output: as-is and to-be process maps in BPMN or swimlane format with pain points documented.,process-mapping workshop type bpmn as-is to-be,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-006,workshop,definition,Prioritization Workshop Type,Purpose: rank requirements or features collaboratively. When to use: backlog grooming; release planning; trade-off decisions with multiple competing requirements. Techniques: MoSCoW; dot voting; WSJF; dollar test. Requires product owner or sponsor authority to finalize decisions.,prioritization-workshop type moscow wsjf backlog,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-007,workshop,definition,Review Walkthrough Workshop Type,Purpose: validate documents with stakeholders to gain formal approval. When to use: SRS review; requirements sign-off; architecture review. Structured inspection process. Participants review document sections and record issues defects and questions for resolution before approval.,review-walkthrough workshop type validation sign-off,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-008,workshop,framework,Workshop Lifecycle - Phase 1 Plan,Plan phase 2 weeks before: define clear objectives and success criteria; identify required attendees and their roles; choose appropriate techniques for objectives; create detailed agenda with time boxes; book room or virtual platform; identify pre-work needed from participants. Planning quality determines workshop success.,workshop lifecycle plan objectives agenda 2-weeks,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-009,workshop,framework,Workshop Lifecycle - Phase 2 Prepare,Prepare phase 1 week before: send calendar invites with agenda attached; distribute pre-read materials; confirm attendance and handle conflicts; prepare all physical or digital materials; brief scribe and co-facilitator on their roles; test all technology including video and collaboration tools.,workshop lifecycle prepare invites pre-read 1-week,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-010,workshop,framework,Workshop Lifecycle - Phase 3 Execute,Execute phase during workshop: facilitate according to agenda with flexibility; timekeep and signal transitions; capture outputs on whiteboard or digital board; manage group dynamics and ensure participation; drive toward objectives; handle conflicts using SKILL-06 techniques if escalation needed.,workshop lifecycle execute facilitate timekeep dynamics,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-011,workshop,framework,Workshop Lifecycle - Phase 4 Follow-Up,Follow-up phase 1 to 2 days after: document and distribute workshop summary; share action items with owners and due dates; distribute photos of whiteboard outputs or links to digital board; schedule follow-up sessions for open items; review participant feedback for improvement; archive materials.,workshop lifecycle follow-up summary action-items,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-012,workshop,template,Workshop Charter Template,Charter sections: Basic Information with name type date duration location facilitator and scribe; Objectives listing 3 specific measurable outcomes; Scope with in-scope topics and out-of-scope parking lot items; Participants table with name role contribution and required or optional; Pre-Work list; Deliverables list; Success Criteria.,workshop charter template planning objectives,ba-facilitation,docs/knowledge_base/specialized/workshop.md
WKS-013,workshop,template,Half-Day Requirements Workshop Agenda 4 Hours,Agenda: 9:00-9:15 Welcome and objectives; 9:15-9:45 Context setting by project sponsor; 9:45-10:30 Current state discovery with process mapping and sticky notes; 10:30-10:45 Break; 10:45-11:30 Requirements elicitation with brainstorming and affinity grouping; 11:30-12:15 Prioritization with MoSCoW or dot voting; 12:15-12:45 Review and next steps; 12:45-13:00 Feedback and close.,half-day agenda template requirements 4-hours,ba-facilitation,docs/knowledge_base/specialized/workshop.md
