entry_id,domain,type,title,content,tags,agents,source
INN-001,innovation,framework,Innovation Pipeline Overview,4-stage pipeline: 1) IDEATE — collect ideas via suggestion box; 2) EVALUATE — impact analysis and opportunity scorecard; 3) PILOT — controlled experiment with test group vs control group; 4) DEPLOY — phased rollout with training and support.,innovation pipeline ideate evaluate pilot deploy stages,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-002,innovation,definition,Incremental vs Disruptive Innovation,"Incremental: small template tweaks and checklist updates — fast-track approval. Disruptive: new AI tool adoption, methodology switch, new framework — requires full pilot with control group. Classify before choosing process path.",incremental disruptive innovation classification pilot fast-track,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-003,innovation,template,Pilot Plan Template,Elements: Hypothesis (belief to test); Metrics (KPIs); Control Group (current method); Test Group (new method); Duration (time-box); Success Criteria (threshold to proceed). Example: 'AI reduces SRS writing time 30%; defect rate does not increase.',pilot plan template hypothesis metrics control test group success criteria,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-004,innovation,technique,Comparative Analysis Before-After,Use side-by-side bar comparison of control vs experiment group metrics. Decision logic: improvement meets threshold AND no quality degradation → proceed; speed up but quality drops → proceed with modification; no improvement → stop.,comparative analysis before after pilot results decision,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-005,innovation,formula,ROI Calculator for Process Improvements,ROI = ((Cost Savings + Value Added) - Implementation Cost) / Implementation Cost × 100%. Components: A=Annual savings; B=Quality gain; C=Total benefit (A+B); D=Tool license; E=Training; F=Pilot cost; G=Total cost (D+E+F). Year 1 ROI example: ($60k-$10k)/$10k = 500%.,ROI formula process improvement cost savings implementation benefit,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-006,innovation,framework,Phased Rollout Deployment Strategy,Phase 1 Alpha: pilot team only — high tolerance for error; Phase 2 Beta: 2-3 friendly teams — gather feedback; Phase 3 GA: global rollout — mandatory adoption. Prevents organizational shock from sudden change.,phased rollout deployment alpha beta GA change management,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-007,innovation,framework,ADKAR Change Management Model,Awareness (why change is needed — townhall emails); Desire (what's in it for me — incentives gamification); Knowledge (how to do it — training skill docs); Ability (can I do it — coaching support); Reinforcement (sustain — audits rewards). Use for every major innovation deployment.,ADKAR change management awareness desire knowledge ability reinforcement,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-008,innovation,checklist,OID Innovation Proposal Checklist,Proposal phase: problem/opportunity aligned to business goals; benefits quantified (time cost quality); risks identified. Piloting phase: pilot plan approved; control/test groups defined; data collection mechanism established.,OID innovation checklist proposal piloting goals benefits risks,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-009,innovation,checklist,OID Analysis and Deploy Checklist,Analysis phase: statistical significance verified; ROI calculated; side effects analyzed. Deployment phase: training materials updated; ADKAR communication executed; process assets updated; feedback loop established.,OID checklist analysis deployment statistical significance ADKAR,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-010,innovation,template,Lessons Learned Repository Template,Columns: ID; Project; Category; Issue or Success; Root Cause or Enabler; Recommendation; Status. Example row: LL-01 / CRM 2.0 / Requirements / Missed NFRs / No NFR Checklist / Use NFR checklist skill / Applied. Prevents repeating mistakes.,lessons learned repository template organizational learning OPA,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-011,innovation,technique,Experiment Hypothesis Statement,Format: 'Using [innovation] will [achieve outcome] for [target]. We will know when [measurable metric] changes by [threshold] within [time period] without degrading [quality metric].' Must specify both success condition and acceptable side-effect bounds.,experiment hypothesis statement template metric threshold success condition,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-012,innovation,technique,Control Group Experimental Design,Every pilot must have: Control Group (existing process — baseline); Test Group (new process — treatment); same project type and complexity; same measurement period; same evaluators where possible. Eliminates confounding variables.,control group experiment design pilot baseline treatment confounding,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-013,innovation,definition,Statistical Significance in Pilots,Before concluding improvement is real: check sample size is adequate; calculate p-value or use practical significance threshold (>20% change is typically meaningful for process improvement). Avoids acting on random variation.,statistical significance sample size p-value practical significance pilot,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-014,innovation,framework,Organizational Learning Knowledge Management,Store all innovation outcomes in Organizational Process Assets (OPA). Categories: process changes; tool adoptions; methodology shifts; lessons learned. Review quarterly. Share findings across teams to compound learning.,organizational learning knowledge management OPA process assets quarterly review,ba-innovation,docs/knowledge_base/advanced/innovation.md
INN-015,innovation,pattern,Innovation Metrics Framework,Track: Time savings (hours saved per unit); Quality impact (defect rate change); Adoption rate (% team using new method); Satisfaction score (team rating); ROI (financial return). Measure pre and post pilot for valid comparison.,innovation metrics time savings quality adoption satisfaction ROI measurement,ba-innovation,docs/knowledge_base/advanced/innovation.md
