entry_id,domain,type,title,content,tags,agents,source
MET-001,metrics,framework,Requirements Engineering KPI Dashboard,CMMI Level 4 measurement framework with three categories: Quality KPIs (defect density; acceptance criteria coverage; traceability; ambiguity index; TBD resolution); Process KPIs (first-pass approval; volatility rate; cycle time; review effectiveness; stakeholder satisfaction); Productivity KPIs (reqs per person-day; elicitation yield; documentation efficiency; rework ratio).,KPI dashboard requirements engineering CMMI quality process productivity,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-002,metrics,formula,Defect Density Formula,Defect Density = (Review Defects + Test Defects) / Total Requirements × 100. Target: < 1 defect per 100 reqs. Warning: 1-3 per 100. Critical: > 3 per 100. Measures requirements quality. Used in SPC control charts to detect process degradation.,defect density formula requirements quality KPI SPC control chart,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-003,metrics,formula,Requirement Volatility Formula,Volatility = (Changed Requirements + Deleted Requirements) / Total Requirements × 100. Target: < 10%. Warning: 10-20%. Critical: > 20%. High volatility signals poor elicitation or unstable business context.,requirement volatility formula change churn stability KPI,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-004,metrics,formula,Review Effectiveness Formula,Review Effectiveness = Defects Found in Review / (Defects Found in Review + Defects Found in Testing) × 100. Target: > 85%. Measures how well reviews catch defects before testing. Low score = reviews are not thorough enough.,review effectiveness formula defects inspection testing ratio KPI,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-005,metrics,formula,Elicitation Yield Formula,Elicitation Yield = New Requirements Captured / Elicitation Hours spent. Target: > 10 requirements per hour. Warning: 6-10. Critical: < 6. Measures efficiency of elicitation sessions. Low score may indicate poor preparation or wrong stakeholders.,elicitation yield formula productivity requirements per hour KPI,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-006,metrics,formula,TBD Resolution Rate Formula,TBD Resolution Rate = (1 - TBDs Remaining / Total Requirements) × 100. Target: 100% before development starts. Warning: 95-99%. Critical: < 95%. Unresolved TBDs are a leading indicator of rework and scope creep.,TBD resolution rate formula incomplete requirements leading indicator,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-007,metrics,framework,SPC Control Chart Fundamentals,Components: UCL (Upper Control Limit) = Mean + 3σ; CL (Center Line) = Mean; LCL (Lower Control Limit) = Mean - 3σ. Plot metric values over time (sprints). Points outside control limits signal special-cause variation requiring investigation.,SPC control chart UCL LCL mean sigma statistical process control,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-008,metrics,checklist,Nelson Rules for Out-of-Control Signals,Rule 1: Single point beyond 3σ — investigate immediately. Rule 2: 9 consecutive points on same side of center line. Rule 3: 6 consecutive points trending up or down. Rule 4: 14 consecutive alternating points. Any rule violation triggers root cause investigation.,Nelson rules control chart out of control signals SPC investigation,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-009,metrics,formula,Process Capability Index Cpk,"Cpk = min[(USL - Mean) / 3σ, (Mean - LSL) / 3σ]. Interpretation: Cpk ≥ 2.0 = world-class (Six Sigma); Cpk ≥ 1.33 = capable (CMMI Level 4 target); Cpk 1.0-1.33 = marginal; Cpk < 1.0 = not capable. Calculate quarterly.",Cpk process capability index formula Six Sigma CMMI USL LSL sigma,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-010,metrics,framework,Sigma Level Calculation,Sigma Level relates to defect rate: 1σ = 69% defect-free; 3σ = 99.73%; 6σ = 99.9997% (3.4 defects per million). For requirements: calculate defects per million opportunities (DPMO) then convert to sigma level using standard table.,sigma level DPMO defects per million opportunities Six Sigma quality,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-011,metrics,framework,Leading vs Lagging Indicators,Leading indicators predict future quality (TBD count; elicitation coverage; review thoroughness). Lagging indicators measure past outcomes (defect density; volatility rate; stakeholder satisfaction). Balance both. Leading indicators enable proactive intervention before defects occur.,leading lagging indicators predictive outcome metrics proactive,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-012,metrics,template,Requirements Metrics Collection Template,Fields per sprint: Total Requirements; New Requirements; Changed Requirements; Deleted Requirements; Review Defects; Test Defects; TBDs Remaining; Approval Cycle Time (days); Stakeholders Engaged; Elicitation Hours. Auto-calculates KPIs from raw data.,metrics collection template sprint data requirements defects TBD cycle time,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-013,metrics,framework,Quality KPI Targets Reference,Defect Density target < 1/100 reqs; Acceptance Criteria coverage 100%; Traceability Coverage > 98%; Ambiguity Index < 2%; TBD Resolution 100%. Warning thresholds are 50-80% of gap to critical. Use for setting process performance baselines.,quality KPI targets acceptance criteria traceability ambiguity TBD thresholds,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-014,metrics,framework,Process KPI Targets Reference,First-Pass Approval target > 90%; Volatility Rate target < 10%; Cycle Time target < 5 days; Review Effectiveness target > 85%; Stakeholder Satisfaction target > 4.5/5. Critical thresholds trigger mandatory root cause analysis and corrective action plan.,process KPI targets first-pass approval cycle time review effectiveness satisfaction,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-015,metrics,framework,Productivity KPI Targets Reference,Requirements per Person-Day target > 15; Elicitation Yield target > 10 req/hour; Documentation Efficiency target > 5 pages/hour; Rework Ratio target < 10%. Low productivity KPIs often correlate with high defect density — check for process capability issues.,productivity KPI requirements per day elicitation yield documentation efficiency rework,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-016,metrics,framework,Defect Classification Framework,Types: Incomplete (56% of defects — missing info); Ambiguous (26% — multiple interpretations); Inconsistent (12% — contradicts other reqs); Incorrect (wrong stakeholder intent); Untestable (unverifiable); Redundant (duplicate). Classify all defects to identify prevention priorities.,defect classification types incomplete ambiguous inconsistent incorrect untestable redundant,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-017,metrics,framework,PDCA Improvement Cycle for RE,Plan: set KPI targets and define measurement approach. Do: collect data each sprint and apply SPC. Check: analyze Cpk quarterly and review SPC charts for signals. Act: standardize improvements or implement corrective actions. Repeat quarterly.,PDCA improvement cycle plan do check act requirements engineering quarterly,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-018,metrics,template,Quality Dashboard Template,Dashboard sections: 1) KPI scorecard (current vs target vs warning vs critical); 2) SPC control chart for defect density; 3) Trend chart for volatility rate; 4) Defect type pie chart; 5) Improvement actions tracker. Update each sprint.,quality dashboard template KPI scorecard SPC trend chart improvement,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-019,metrics,checklist,CMMI Level 4 Metrics Checklist,Required: process performance baselines documented; statistical control applied to key processes; quantitative objectives defined; sub-process variation analyzed; corrective actions data-driven; Cpk ≥ 1.33 achieved and tracked quarterly.,CMMI level 4 metrics checklist performance baseline quantitative Cpk statistical,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-020,metrics,framework,Defect Severity Resolution Targets,Critical (system failure risk): resolve ≤ 24 hours. Major (significant functionality affected): resolve ≤ 48 hours. Minor (small inconsistency): resolve ≤ 1 week. Low (nice-to-have fix): add to backlog. Track all defects against these SLA targets.,defect severity resolution SLA critical major minor low requirements,ba-metrics,docs/knowledge_base/advanced/metrics.md
MET-021,metrics,framework,SPC Action Protocol When Out-of-Control,Step 1: Stop and investigate root cause immediately. Step 2: Document findings in defect log with 5-Whys or fishbone analysis. Step 3: Implement corrective action. Step 4: Verify process returns to control (within limits). Step 5: Update process baseline if change is permanent.,SPC out-of-control action protocol root cause corrective action baseline update,ba-metrics,docs/knowledge_base/advanced/metrics.md
