entry_id,domain,type,title,content,tags,agents,source
BRL-001,business-rules,definition,Business Rule Definition,A business rule is an atomic declarative statement that constrains or defines how the business operates. Rules are technology-agnostic and represent encoded business knowledge. Should be managed separately from use cases and requirements.,business-rule definition declarative atomic,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-002,business-rules,definition,Type 1 - Terms: Basic Term,Basic Term defines a business concept with precise meaning. Template: A [Term] is [definition]. Example: A Job is a set of services performed at a customer location. Terms form the shared vocabulary for all other rule types.,business-rule term definition vocabulary glossary,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-003,business-rules,formula,Type 1 - Terms: Derivation Rule,Derivation rule computes a value. Template: [Derived Term] = [formula]. Example: Late Fee = Outstanding Balance x 0.015 x Days Overdue. Customer Tier = CASE WHEN annual_spend > 50000 THEN Platinum ELSE Standard END.,business-rule derivation formula calculation,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-004,business-rules,pattern,Type 1 - Terms: Inference Rule,Inference rule classifies entity based on condition. Template: If [condition] then [term classification]. Example: If a customer total annual spending exceeds $50000 then the customer is classified as a Platinum Customer.,business-rule inference classification condition,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-005,business-rules,pattern,Type 2 - Facts: Relationship Statement,Facts describe relationships between terms. Template: Each [term A] [verb phrase] [term B]. Example: Each Customer may place one or more Orders. Each Order contains one or more Line Items. Facts map to ERD relationships.,business-rule fact relationship data-model erd,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-006,business-rules,pattern,Type 3 - Constraints: State Constraint,State Constraint restricts entity to certain state before action. Template: [Subject] must be in [state] before [action]. Example: Job must be Approved before dispatch. Enforced by system workflow guards.,business-rule constraint state-constraint workflow guard,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-007,business-rules,pattern,Type 3 - Constraints: Attribute Constraint,Attribute Constraint limits data values. Template: [Attribute] must be between [min] and [max] / must match [format]. Example: Quantity must be between 1 and 999. Order amount must not exceed customer credit limit.,business-rule constraint attribute validation data-rule,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-008,business-rules,pattern,Type 3 - Constraints: Set Constraint,Set Constraint limits collection membership size or composition. Template: [Entity] must not have more than [N] [related entities]. Example: Max 5 services per job. A contractor can have max 3 active jobs simultaneously.,business-rule constraint set collection membership,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-009,business-rules,pattern,Type 3 - Constraints: Uniqueness Constraint,Uniqueness Constraint prevents duplicate values. Template: [Attribute] must be unique across all [entities]. Example: Customer email must be unique. Employee ID must not be duplicated across departments.,business-rule constraint uniqueness duplicate-prevention,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-010,business-rules,pattern,Type 3 - Constraints: Relationship Constraint,Relationship Constraint limits associations between entities. Template: [Entity A] must not be associated with more than [N] [Entity B]. Example: Contractor can have max 3 active jobs. Region must have at least 1 manager.,business-rule constraint relationship association cardinality,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-011,business-rules,pattern,Type 4 - Action Enablers: Event-Triggered Action,Action Enabler triggers automatic system action when condition is met. Template: If [condition] then [action]. On [event] if [condition] then [action]. Example: On Job Completion if cost differs from estimate by >10% notify Customer.,business-rule action-enabler trigger automation event,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-012,business-rules,pattern,General Constraint Template,General constraint template: [Subject] must [not] [verb phrase]. If [condition] then [subject] must [not] [verb phrase]. On [event] then [subject] must [not] [verb phrase]. Example: A Customer with overdue payments must not schedule new Jobs.,business-rule constraint template pattern declarative,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-013,business-rules,template,Business Rules Catalog Format,Catalog fields: BR-ID; Rule Name; Statement; Category (Term/Fact/Constraint/Action Enabler); Source (regulation/policy/SME); Owner; Enforcement (Software/Business Process/Both); Related Use Cases; Related Entities; Effective Date; Priority; Status.,business-rule catalog template management artifact,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-014,business-rules,example,Business Rule Catalog Entry Example,"BR-042 Overdue Customer Job Restriction. Statement: Customer with payments overdue > 30 days must not schedule new Jobs. Category: Constraint/State. Source: Finance Policy FP-2024-07. Enforcement: Software. Priority: Must. Exception: approved credit extension per BR-043.",business-rule catalog example constraint enforcement,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-015,business-rules,definition,Business Rules vs Requirements Distinction,Business rules are declarative constraints on the business (what must be true). Requirements describe what the system must do (behavior). Rules constrain requirements. A rule may spawn multiple requirements across different systems.,business-rule requirements distinction declarative behavioral,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-016,business-rules,technique,Decision Table - When to Use,Use Decision Tables when: multiple conditions combine to determine outcomes; business users think in if-X-and-Y-then-Z terms; rules have 6 or fewer conditions; comprehensive testing coverage needed. Each column becomes a test case.,decision-table conditions outcomes testing rules,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-017,business-rules,technique,Decision Table Construction Steps,Steps: 1.List all conditions; 2.List all actions; 3.Create all condition combinations (2^n for Boolean); 4.Mark actions per combination; 5.Simplify by merging duplicates and marking irrelevant with dash; 6.Verify completeness; 7.Walk with SME.,decision-table construction steps methodology,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-018,business-rules,formula,Decision Table Completeness Check,For n Boolean conditions there should be 2^n rules before simplification. Example: 3 conditions = 8 possible rules. If only 5 rules exist then 3 combinations are missing or merged. After simplification verify every real input maps to exactly one rule.,decision-table completeness formula validation boolean,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-019,business-rules,technique,Decision Tree Construction Steps,Steps: 1.Identify first/most important condition as root; 2.Draw branches for each value; 3.At each branch identify next relevant condition; 4.Continue until all paths reach leaf/action; 5.Verify no dead ends; 6.Verify no conflicting actions; 7.Walk paths with SME.,decision-tree construction steps validation,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-020,business-rules,technique,Decision Table to Decision Tree Conversion,Table to Tree: pick condition with fewest values as root node; branch for each value; repeat with remaining conditions at each branch. Tree to Table: each path from root to leaf = one column; conditions on path = condition row values; leaf action = action values.,decision-table decision-tree conversion technique,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-021,business-rules,technique,Business Rule Discovery - From Use Cases,Discovery questions from use cases: What must be true before actor can perform action? What prevents action from happening? What happens when conditions X and Y are both true? Are there exceptions to this step? What determines which path user takes?,business-rule discovery elicitation use-case questions,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-022,business-rules,technique,Business Rule Discovery - From Data Model,Discovery questions from data model: What are valid values for attribute? Can entity exist without related entity? How many related entities can one entity have? When is attribute required vs optional? How is derived attribute calculated?,business-rule discovery data-model elicitation,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-023,business-rules,technique,Business Rule Discovery - From State Diagrams,Discovery questions from state diagrams: What conditions must be met to move from state A to state B? Can entity go back to previous state? What happens if entity is in state when event occurs? State guards directly translate to constraint rules.,business-rule discovery state-diagram transition guards,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-024,business-rules,checklist,Business Rules Quality Checklist,Quality checks: each rule has unique BR-ID; each rule is declarative not procedural; each rule is atomic; each rule traces to business policy or need; enforcement marked as Software/Business Process/Both; linked to related use cases; no contradictions.,business-rule quality checklist validation declarative,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-025,business-rules,pattern,Business Rule Traceability Chain,Traceability: Policy → Business Rule → Use Case Step → Functional Requirement → Test Case. Each rule connects upward to a policy/regulation and downward to functional requirements and test cases. Ensures full auditability.,business-rule traceability chain policy requirements testing,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-026,business-rules,pattern,Common Mistake: Procedural Rule,Mistake: writing a rule as a sequence (First check credit then check inventory). Fix: write declaratively (Order must not be placed if credit limit exceeded OR inventory insufficient). Rules state what is constrained not how to check it.,business-rule mistake procedural declarative fix,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-027,business-rules,pattern,Common Mistake: Ambiguous Rule,Mistake: Large orders get a discount (what is large?). Fix: Orders exceeding $10000 receive a 5% discount. Rules must have precise numeric boundaries not qualitative terms. Ambiguity leads to inconsistent implementation.,business-rule mistake ambiguous precision boundary,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-028,business-rules,pattern,Common Mistake: Compound Rule,Mistake: Members get free shipping and 10% off (two rules in one). Fix: Split into BR-001 (members get free shipping) and BR-002 (members get 10% discount). Atomic rules allow independent change and testing.,business-rule mistake compound atomic split,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-029,business-rules,pattern,Validation Rules Pattern,Validation rules restrict acceptable data values. Template: [Field] must [be/not be] [value/range/format/pattern]. Examples: Email must contain @ symbol; Start date must not be in the past; Amount must be greater than zero.,business-rule validation data-quality input constraints,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-030,business-rules,pattern,Authorization Rules Pattern,Authorization rules control who can perform what action. Template: Only [role/user type] may [perform action] when [condition]. Example: Only Finance Managers may approve purchase orders exceeding $10000. Drives RBAC requirements.,business-rule authorization rbac access-control role,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-031,business-rules,pattern,Temporal Rules Pattern,Temporal rules restrict actions based on time/dates. Template: [Action] must [not] occur [before/after/within] [time period]. Example: Password must be changed every 90 days. Invoices must be paid within 30 days of issue date.,business-rule temporal time-based date expiration,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-032,business-rules,technique,Business Rule Sources - External,External rule sources: Government regulations; Industry standards (ISO/PCI-DSS/HIPAA); Contractual obligations; Tax laws and financial regulations. External rules are non-negotiable and must be tracked to their source document.,business-rule sources external regulation compliance,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-033,business-rules,technique,Business Rule Sources - Internal,Internal rule sources: Company policies and handbooks; Standard operating procedures (SOPs); Management decisions and memos; Institutional knowledge from SME interviews; Legacy system logic reverse engineering.,business-rule sources internal policy sme sop,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
BRL-034,business-rules,pattern,Process Rules Pattern,Process rules constrain the sequence or state of business processes. Template: [Process step] must [not] occur unless [prior step] is [state]. Example: Order cannot be shipped until payment is confirmed. Drives workflow and state machine requirements.,business-rule process workflow state sequence,ba-writing ba-process,docs/knowledge_base/specialized/business_rules.md
