entry_id,domain,type,title,content,tags,agents,source
CON-001,conflict,definition,Contradictory Conflict Type,Two requirements that cannot both be true simultaneously. Example: auto-save every 30s vs never save without user action. Resolution: find underlying interest; create conditional logic.,conflict requirements contradictory resolution,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-002,conflict,definition,Resource Conflict Type,Conflict arising from limited budget or time for competing needs. Example: Dept A and B both want implementation priority. Resolution: use prioritization framework MoSCoW or WSJF.,conflict resource priority budget scarcity,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-003,conflict,definition,Stakeholder Conflict Type,Different opinions between stakeholders on the same requirement. Example: Marketing says X but Engineering says it is infeasible. Resolution: facilitate dialogue and find compromise.,conflict stakeholder opinion facilitation,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-004,conflict,definition,Priority Conflict Type,Everyone marks their requirement as Must Have or highest priority. Resolution: apply objective criteria such as MoSCoW or WSJF to rank objectively.,conflict priority moscow wsjf requirements,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-005,conflict,definition,Scope Creep Conflict Type,Continuous additions beyond the agreed scope. Example: just one more small feature requests. Resolution: return to original scope agreement and defer additions to backlog.,conflict scope-creep backlog requirements,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-006,conflict,definition,Interpretation Conflict Type,Different understanding of the same requirement text. Example: real-time means 1 second to user but 5 minutes to developer. Resolution: define precisely with examples and measurable criteria.,conflict interpretation ambiguity requirements clarity,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-007,conflict,framework,Harvard Principle 1 - Separate People From Problem,Be soft on people but hard on the problem. Use I-statements not You-statements. Example: say I am concerned about the timeline instead of You set an impossible deadline. Reduces emotional defensiveness.,negotiation harvard principle people problem conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-008,conflict,framework,Harvard Principle 2 - Focus on Interests Not Positions,Position is what they say they want; Interest is the underlying need why they want it. Example position: report in 5 seconds. Underlying interest: users abandon if slow. Alternative solutions may satisfy the interest.,negotiation harvard interest position conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-009,conflict,framework,Harvard Principle 3 - Generate Options for Mutual Gain,Before deciding brainstorm multiple options using what-if questions; look for trades; expand the pie by finding new resources; phase implementation. Goal is WIN-WIN not WIN-LOSE.,negotiation harvard options win-win brainstorm conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-010,conflict,framework,Harvard Principle 4 - Use Objective Criteria,Base decisions on standards not power or pressure. Objective criteria include industry benchmarks; market rates; expert opinions; legal requirements; scientific data; historical precedent; cost-benefit analysis.,negotiation harvard objective criteria standards conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-011,conflict,definition,BATNA - Best Alternative To Negotiated Agreement,BATNA is what you will do if no agreement is reached. Your BATNA options: escalate to sponsor; defer feature; implement minimal version; engage mediator. The party with the better BATNA has more power. Always improve your BATNA before negotiating.,batna negotiation alternative agreement conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-012,conflict,definition,Reservation Price - Walk-Away Point,Reservation price is the minimum acceptable outcome below which you walk away and escalate. Example: goal is 3-second response time; reservation price is 10 seconds maximum. Know your walk-away point before entering negotiation.,reservation-price negotiation walk-away conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-013,conflict,definition,ZOPA - Zone of Possible Agreement,ZOPA is the overlap between both parties reservation prices where agreement is possible. If ZOPA exists agreement can be reached. If no ZOPA exists you need to change the game or escalate to decision maker.,zopa negotiation agreement overlap conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
CON-014,conflict,framework,BATNA Preparation Worksheet,Worksheet elements: Best Alternative if No Deal; Reservation Price; Target/Aspiration; Key Interests; Constraints; Potential Trades. Complete for both your side and estimated other side before negotiating.,batna worksheet preparation negotiation conflict,ba-conflict,docs/knowledge_base/specialized/conflict.md
