entry_id,domain,type,title,content,tags,agents,source
PRC-001,process,framework,Process Modeling Hierarchy,4-level hierarchy: Level 0 Value Chain (enterprise); Level 1 Process Area (business domain e.g. Order Management); Level 2 Process/Workflow (BPMN diagram); Level 3 Activity (task detail with steps); Level 4 Procedure (step-by-step instructions). Start at Level 0 to avoid missing context.,process-hierarchy value-chain process-area workflow activity procedure,ba-process,docs/knowledge_base/specialized/process.md
PRC-002,process,definition,BPMN Start Event,BPMN Start Event (thin circle): triggers process initiation. Types: Blank (no trigger); Message (receives message); Timer (time-based trigger); Signal (receives signal); Conditional (condition becomes true). Every process MUST have at least one start event.,BPMN start-event event notation trigger circle,ba-process,docs/knowledge_base/specialized/process.md
PRC-003,process,definition,BPMN Intermediate Event,BPMN Intermediate Event (double circle): occurs during process flow. Types: Message (send/receive); Timer (wait/delay); Signal; Error (catch errors); Compensation. Used to model waiting states pauses or message exchanges mid-process.,BPMN intermediate-event double-circle message timer signal error notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-004,process,definition,BPMN End Event,BPMN End Event (thick circle): marks process completion. Types: Blank (normal end); Message (send message on end); Error (terminates with error); Terminate (kills all parallel tokens); Compensation. Every process flow path must end with an end event.,BPMN end-event thick-circle terminate error notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-005,process,definition,BPMN Task Types,BPMN Task is atomic work unit. Types: User Task (human performs with system support); Service Task (automated system call); Script Task (runs script/code); Manual Task (performed without system); Receive Task (waits for message); Send Task (sends message); Business Rule Task (evaluates decision table).,BPMN task user-task service-task script-task manual-task activity notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-006,process,definition,BPMN Sub-Process,BPMN Sub-Process: collapsed (rectangle with + marker showing contained process) or expanded (shows internal flow). Used to manage complexity; hide detail until needed; enable reuse across processes. Sub-processes can be event-driven or looping.,BPMN sub-process collapsed expanded reuse complexity notation activity,ba-process,docs/knowledge_base/specialized/process.md
PRC-007,process,definition,BPMN Exclusive Gateway XOR,Exclusive Gateway (diamond with X): only ONE outgoing path taken based on condition. Used for decisions with mutually exclusive outcomes. Each outgoing sequence flow MUST have a condition label. One path should be default. Decision must be deterministic.,BPMN exclusive-gateway XOR decision diamond condition routing,ba-process,docs/knowledge_base/specialized/process.md
PRC-008,process,definition,BPMN Parallel Gateway AND,Parallel Gateway (diamond with +): ALL outgoing paths activated simultaneously. Creates parallel branches; synchronizes parallel branches when used as join. No conditions needed on outgoing flows. Join waits for ALL incoming tokens before proceeding.,BPMN parallel-gateway AND split join concurrent diamond notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-009,process,definition,BPMN Inclusive Gateway OR,Inclusive Gateway (diamond with circle): ONE OR MORE outgoing paths taken. More flexible than XOR; less predictable than AND. Each outgoing flow has condition; join waits for all active paths. Use when multiple conditions can be true simultaneously.,BPMN inclusive-gateway OR multiple-paths diamond condition notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-010,process,definition,BPMN Event-Based Gateway,Event-Based Gateway (diamond with pentagon): routing based on WHICH event occurs first. Each outgoing flow leads to an intermediate catching event. Process takes the path of the first event received. Used for race conditions and timeouts.,BPMN event-based-gateway race-condition event-first routing notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-011,process,definition,BPMN Sequence Flow,Sequence Flow (solid arrow): represents order of activities within a pool/lane. Must connect flow objects within same pool. Cannot cross pool boundaries (use Message Flow instead). Labels should describe condition for conditional flows.,BPMN sequence-flow arrow connecting-objects flow order notation,ba-process,docs/knowledge_base/specialized/process.md
PRC-012,process,definition,BPMN Message Flow,Message Flow (dashed arrow): represents communication between different pools/participants/organizations. Crosses pool boundaries. Shows interaction not internal flow. Key for modeling B2B processes or department handoffs.,BPMN message-flow dashed-arrow pools participants communication collaboration,ba-process,docs/knowledge_base/specialized/process.md
PRC-013,process,definition,BPMN Association,BPMN Association (dotted line): links artifacts (data objects annotations) to flow elements. Not a flow itself; just shows relationship or annotation. Used with text annotations to add explanations to complex elements.,BPMN association dotted-line artifact annotation data-object connection,ba-process,docs/knowledge_base/specialized/process.md
PRC-014,process,definition,BPMN Pool and Swimlane,Pool represents one participant/organization in a collaboration. Lanes within a pool represent roles departments or systems. Activities in a lane are performed by that lane's actor. Cross-lane flows represent handoffs. Each pool has its own start/end events.,BPMN pool swimlane lane participant role department handoff organization,ba-process,docs/knowledge_base/specialized/process.md
PRC-015,process,pattern,Swimlane Construction Rules,Swimlane best practices: One pool per organization/system; lanes for roles within organization; place tasks in lane of performer; use message flow for inter-pool communication; label all sequence flows at gateways; all lanes belong to one pool; avoid too many lanes (max 5-6 for readability).,swimlane construction BPMN lanes roles pools readability best-practice,ba-process,docs/knowledge_base/specialized/process.md
PRC-016,process,framework,As-Is Analysis Framework,As-Is documentation captures: Process name/owner/scope; Trigger and output; Frequency and volume; Current metrics (cycle time throughput error rate cost satisfaction); Process steps (activity actor system duration pain points); Pain points summary with root cause; Systems and data used.,as-is analysis current-state process-documentation pain-points metrics,ba-process,docs/knowledge_base/specialized/process.md
PRC-017,process,framework,To-Be Design Framework,To-Be design defines future state with improvements over As-Is. Elements: automation replacing manual steps; digitization of paper/email processes; optimization for speed/cost; new capabilities; elimination of waste. Gap between As-Is and To-Be drives requirements.,to-be design future-state automation digitization optimization improvement,ba-process,docs/knowledge_base/specialized/process.md
