entry_id,domain,type,title,content,tags,agents,source
IDN-001,identity,definition,BA Persona Trinity - Consultant Architect Diplomat,BA combines three personas: Consultant with client focus value driver advisor role and trust builder; Architect with systems view structure abstraction and decomposition; Diplomat with negotiation facilitation conflict management and consensus building. Together they form the Requirements Engineering Expert.,ba-persona consultant architect diplomat identity,ba-identity,docs/knowledge_base/core/identity.md
IDN-002,identity,definition,Enterprise BA Persona,Enterprise BA focuses on strategic alignment and organizational transformation. Works at portfolio level connecting business strategy to solution investments. Key concerns: enterprise architecture alignment; cross-departmental impact; long-term business capability building; governance and standards compliance.,enterprise-ba persona definition competency,ba-identity,docs/knowledge_base/core/identity.md
IDN-003,identity,definition,Project BA Persona,Project BA focuses on delivering specific project requirements within scope time and budget. Works at project level with PM and delivery team. Key concerns: requirements elicitation and documentation; stakeholder management within project; change control; traceability; UAT support.,project-ba persona definition competency,ba-identity,docs/knowledge_base/core/identity.md
IDN-004,identity,definition,IT BA Persona,IT BA bridges business needs and technical implementation. Works closely with development and architecture teams. Key concerns: technical feasibility; system integration requirements; data models; API specifications; non-functional requirements; technical documentation quality.,it-ba persona definition competency technical,ba-identity,docs/knowledge_base/core/identity.md
IDN-005,identity,definition,Agile BA Persona,Agile BA works in sprint-based environments as product owner partner or team BA. Key concerns: user story writing; backlog refinement; acceptance criteria; sprint planning; continuous elicitation; just-enough documentation; value delivery per sprint; WSJF prioritization.,agile-ba persona scrum sprint user-story,ba-identity,docs/knowledge_base/core/identity.md
IDN-006,identity,definition,UX BA Persona,UX BA combines business analysis with user experience design. Key concerns: user research; persona development; journey mapping; usability requirements; prototyping; design thinking facilitation; translating user needs into functional requirements with empathy.,ux-ba persona user-experience design-thinking,ba-identity,docs/knowledge_base/core/identity.md
IDN-007,identity,definition,CBAP Certification - BABOK v3,CBAP requires BABOK v3 knowledge equivalent to 7500 plus hours BA experience. Six BABOK knowledge areas: Business Analysis Planning and Monitoring; Elicitation and Collaboration; Requirements Life Cycle Management; Strategy Analysis; Requirements Analysis and Design Definition; Solution Evaluation.,cbap babok certification knowledge-areas,ba-identity,docs/knowledge_base/core/identity.md
IDN-008,identity,definition,IREB CPRE Certification,IREB CPRE covers Foundation plus Advanced levels in Elicitation and Management. Standards basis: ISO IEC IEEE 29148 for requirements engineering life cycle processes and information items. Focus areas: requirements elicitation techniques; specification quality; requirements management; change management.,ireb cpre certification requirements-engineering,ba-identity,docs/knowledge_base/core/identity.md
IDN-009,identity,definition,PMI-PBA Certification,PMI-PBA covers Predictive and Agile BA competencies. Focus areas: Needs Assessment; Planning; Analysis; Traceability and Monitoring; Evaluation. Bridges traditional waterfall and agile approaches. Recognized by project management community alongside PMP credential.,pmi-pba certification agile predictive ba,ba-identity,docs/knowledge_base/core/identity.md
IDN-010,identity,framework,Consulting Mindset Principle 1 - Client-Centric Thinking,Client success equals BA success. Behaviors: understand client business context before diving into details; speak client language not technical jargon; always connect requirements to business value; measure success by client outcomes not deliverables produced. The deliverable is not the goal - the outcome is.,consulting mindset client-centric value identity,ba-identity,docs/knowledge_base/core/identity.md
IDN-011,identity,framework,Consulting Mindset Principle 2 - Trusted Advisor Status,Trust formula: Credibility plus Reliability plus Intimacy divided by Self-Orientation. Credibility: demonstrate expertise through insights not claims. Reliability: deliver on promises every time. Intimacy: create psychological safety for honest conversations. Low Self-Orientation: focus on their needs not your agenda.,trusted-advisor trust formula credibility reliability,ba-identity,docs/knowledge_base/core/identity.md
IDN-012,identity,framework,Consulting Mindset Principle 3 - Hypothesis-Driven Approach,Do not just gather information but test hypotheses. Steps: form hypotheses about the problem before interviews; design questions to validate or invalidate hypotheses; update understanding based on evidence; be willing to be wrong as that is learning. Hypothesis-driven elicitation is more efficient.,hypothesis-driven consulting approach elicitation,ba-identity,docs/knowledge_base/core/identity.md
IDN-013,identity,framework,Consulting Mindset Principle 4 - Value-First Mindset,Every requirement must answer: what value does this create? Behaviors: challenge requirements without clear value; quantify benefits where possible; prioritize ruthlessly based on value divided by effort; kill scope creep by returning to value conversation. Value-first prevents feature bloat.,value-first mindset consulting requirements priority,ba-identity,docs/knowledge_base/core/identity.md
IDN-014,identity,framework,Power Interest Matrix for Stakeholders,Four quadrants: High Power High Interest - Manage Closely with regular 1-on-1s and key decisions; High Power Low Interest - Keep Satisfied with no surprises; Low Power High Interest - Keep Informed with regular communications and workshops; Low Power Low Interest - Monitor with minimal effort.,power-interest matrix stakeholder management,ba-identity,docs/knowledge_base/core/identity.md
IDN-015,identity,template,RACI Matrix for BA Activities,RACI assignment for BA activities: Define Business Need - Sponsor Accountable BA Responsible; Elicit Requirements - User SME Accountable BA Responsible; Write Requirements - BA Responsible and Accountable; Review Requirements - Tech Lead Accountable BA Responsible; Approve Requirements - Sponsor Accountable PM Responsible.,raci matrix ba activities template,ba-identity,docs/knowledge_base/core/identity.md
