entry_id,domain,type,title,content,tags,agents,source
DAT-001,data-analytics,template,Data Dictionary Template,Data dictionary fields: Field Name; Business Name (friendly label); Data Type (string/integer/decimal/boolean/date/datetime); Length/Precision; Constraints (nullable/unique/foreign key); Allowed Values (enum list or range); Default Value; Source System; Description (business meaning); Owner; Last Updated.,data-dictionary template fields metadata,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-002,data-analytics,template,ETL Requirements Template,ETL requirements fields: Source System (name/type/connection); Source Query/File (extraction logic); Transformation Rules (field mapping/calculations/filters); Destination System (target table/schema); Load Strategy (full replace/incremental/upsert); Schedule (cron expression); Frequency (real-time/hourly/daily/weekly); Error Handling (reject file/skip/halt); Audit Logging.,etl requirements template source transformation load,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-003,data-analytics,template,Reporting Requirements Template,Reporting requirements fields: Report Name; Audience (role/team); Frequency (on-demand/daily/weekly/monthly); KPIs/Metrics (with calculation formula); Dimensions (filters/groupings — region/period/product); Drill-down capability (level of detail); Data freshness requirement; Export format (PDF/Excel/CSV); Access control (who can view).,reporting requirements template kpi audience,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-004,data-analytics,framework,Data Quality Rules - 6 Dimensions,Data quality dimensions: Completeness (required fields populated — target >99%); Accuracy (values match source of truth); Consistency (same value across systems); Timeliness (data available within SLA after event); Validity (values conform to format/range rules); Uniqueness (no duplicate records). Each dimension needs metric and threshold.,data-quality dimensions completeness accuracy consistency,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-005,data-analytics,pattern,Data Quality Rule Pattern,DQ rule template: Rule ID; Dimension (completeness/accuracy/consistency/timeliness/validity/uniqueness); Rule Statement (field X must not be null); Dataset/Table; Measurement SQL; Threshold (>99%); Failure Action (alert/reject/quarantine); Owner; Review frequency. Rules automated in data quality framework.,data-quality rule pattern template measurement,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-006,data-analytics,template,Master Data Management Requirements,MDM requirements: Golden record definition (authoritative source per entity); Match/merge rules (how duplicates identified and merged); Survivorship rules (which source wins for each field); Stewardship workflow (human review for unresolved merges); Distribution to consuming systems (real-time/batch); Hierarchy management (org/product/geography); Audit history of changes.,mdm master-data requirements golden-record merge,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-007,data-analytics,template,Data Lineage Documentation,Data lineage captures: Source (system/table/field); Transformation applied (formula/filter/join); Destination (system/table/field); Business rule applied; Tool/process that performs transformation; Frequency of data movement; Owner of each step. Enables impact analysis and compliance audit. Required for regulated data.,data-lineage documentation transformation audit compliance,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-008,data-analytics,template,Dashboard Requirements Specification,Dashboard requirements: Purpose and audience; KPIs displayed (name/formula/target/threshold for RAG); Chart types for each metric (bar/line/pie/gauge — justify choice); Refresh frequency (real-time/15min/hourly/daily); Filter options (date range/region/department); Drill-down paths; Mobile responsive requirement; Access control; Export capability.,dashboard requirements kpi charts filters specification,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-009,data-analytics,framework,Data Warehouse vs Data Lake Requirements,Data Warehouse: structured data; schema-on-write; optimized for BI queries; star/snowflake schema; governed/curated; use for regular reporting and dashboards. Data Lake: raw + structured data; schema-on-read; flexible exploration; use for ML/advanced analytics/data science. Data Lakehouse combines both patterns.,data-warehouse data-lake requirements architecture comparison,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-010,data-analytics,framework,Dimensional Modeling Requirements,Dimensional model requirements: Fact table (numeric measures + foreign keys to dimensions); Dimension tables (descriptive attributes — slowly changing dimensions type 1/2/3); Star schema (one fact + surrounding dimensions — simple queries); Snowflake schema (normalized dimensions — complex but space-efficient); Grain definition (lowest level of detail in fact table — mandatory to specify).,dimensional-modeling fact-table dimension star-schema,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-011,data-analytics,framework,Data Governance Framework Requirements,Data governance requirements: Data ownership (business owner per domain); Data stewardship (operational responsibility); Data catalog (metadata repository — searchable); Data classification policy (public/internal/confidential/restricted); Data quality program; Master data management; Change control for data schemas; Compliance reporting capability.,data-governance framework ownership stewardship catalog,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-012,data-analytics,template,Data Classification Requirements,Four classification levels: Public (no restrictions — marketing data); Internal (employee access — operational reports); Confidential (role-based access + encryption at rest — customer PII/financial data); Restricted (MFA + encryption + DLP + audit log + restricted export — PHI/PAN/credentials). Classification label applied at field level in data dictionary.,data-classification levels confidential restricted pii,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-013,data-analytics,template,Data Retention Policy Requirements,Retention policy requirements: Data category (transactional/analytical/audit/log); Retention period (legal/regulatory/business need); Retention basis (legal obligation/legitimate interest/consent); Deletion mechanism (hard delete/soft delete/anonymization); Retention schedule in data dictionary; Legal hold process (override retention); Backup retention separate from live retention.,data-retention policy requirements legal compliance,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-014,data-analytics,pattern,Real-time vs Batch Processing Requirements,Decision criteria: Real-time (latency <1 second; event-driven triggers; streaming — Kafka/Flink; use for: fraud detection/live dashboards/notifications). Batch (latency minutes to hours; scheduled; use for: ETL/reporting/billing). Micro-batch (near-real-time 1-60 min; Spark Streaming; use for: analytics aggregations). Document latency SLA per use case.,real-time batch processing requirements latency streaming,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-015,data-analytics,checklist,Data Migration Requirements Checklist,Migration requirements checklist: source data profiled (quality/volume/anomalies); data mapping document complete; transformation rules documented and validated; migration strategy (big bang/phased/parallel run); rollback plan; data validation checks (record count/checksum/sample comparison); cutover plan; post-migration verification; legacy system decommission timeline.,data-migration checklist requirements validation cutover,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-016,data-analytics,template,BI Tool Requirements Specification,BI tool requirements: Self-service capability (business users create own reports without IT); Connectivity (data sources supported); Data volume capability (rows/GB tested); Visualization types (charts/maps/gauges/custom visuals); Collaboration (share/comment/alert); Scheduling (automated delivery); Embedding (in application/portal); Security (row-level security/AD integration); Mobile support.,bi-tool requirements self-service data-visualization,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-017,data-analytics,pattern,Data Access Control Requirements,Data access requirements: Role-based access control (RBAC) at schema/table/row/column level; Row-level security (users see only their organization data); Column masking (PII masked for non-privileged roles — show last 4 digits only); Data sharing agreements documented before access granted; Access review quarterly; Emergency access procedure with audit.,data-access control rbac row-level-security masking,ba-writing ba-nfr,expert-knowledge/data-analytics
DAT-018,data-analytics,pattern,KPI Requirements Specification Pattern,KPI specification: KPI Name; Business Question answered; Formula (numerator/denominator/calculation); Dimensions (how sliced — time/region/product); Data Sources (which systems/tables); Refresh frequency; Target value (green threshold); Warning threshold (amber); Critical threshold (red); Owner (accountable for KPI); Visualization type recommended.,kpi specification requirements formula threshold,ba-writing ba-nfr,expert-knowledge/data-analytics
