entry_id,domain,type,title,content,tags,agents,source
COM-001,communication,template,Communication Plan Template,Communication plan fields: Stakeholder (name/role); Information Need (what they need to know); Frequency (daily/weekly/monthly/milestone); Channel (email/meeting/dashboard/report); Content (what is communicated); Format (report/slide/verbal); Owner (who sends); Feedback mechanism.,communication-plan stakeholder template planning,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-002,communication,framework,RACI Communication Matrix,RACI matrix for communication: Responsible (creates/delivers the communication); Accountable (approves before sending); Consulted (provides input/review); Informed (receives the communication). Map communication types to RACI roles. Prevents both under-communication and over-communication.,raci communication matrix stakeholder responsibility,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-003,communication,template,Status Report Template (RAG),Status report structure: Project/Sprint name and date; Overall RAG status (Red/Amber/Green with definition); Accomplishments this period; Planned next period; Risks (description/impact/mitigation/owner); Issues requiring decision; Key decisions made; Actions (owner/due date); Metrics (budget/schedule/scope/quality).,status-report rag risks decisions template,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-004,communication,definition,RAG Status Definitions,RAG status: Green = on track/no significant issues/will deliver as planned. Amber = at risk/issue identified but manageable/recovery plan in place. Red = off track/significant issue/escalation required/stakeholder action needed. Always include what changed from last period and why.,rag status green amber red reporting escalation,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-005,communication,template,Stakeholder Presentation Structure,Executive presentation structure: Hook (business problem/opportunity — 30 seconds); Current State (pain/cost — 1 minute); Proposed Solution (what/how/why — 2 minutes); Demo (show not tell — 3 minutes); Business Case (ROI/timeline/risk — 1 minute); Ask (decision/approval needed — 30 seconds); Q&A.,stakeholder presentation executive structure demo,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-006,communication,technique,Requirements Walkthrough Facilitation,Walkthrough steps: distribute material 48h before; set agenda (scope/objectives/time limit); roles (author/moderator/reviewers/scribe); walkthrough rules (no solutions just issues); capture issues in issue log (not in document); rate each issue (major/minor/question); no acceptance during walkthrough; schedule follow-up.,requirements-walkthrough facilitation review technique,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-007,communication,template,Sprint Review Presentation Structure,Sprint review structure: Sprint goal recap (met/not met); Demo of completed stories (happy path first); What was not completed and why; Metrics (velocity/burndown/defects); Stakeholder feedback collection; Product backlog update preview; Next sprint goal preview; Questions and decisions needed.,sprint-review presentation agile demo structure,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-008,communication,template,Steering Committee Report Template,Steering committee report: Executive summary (3 bullets max); Project health dashboard (RAG for scope/schedule/budget/quality/risk); Milestone status (completed/upcoming); Critical decisions required (with recommendation and deadline); Top 3 risks with mitigation; Budget vs actuals; Next review date.,steering-committee report executive milestone governance,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-009,communication,pattern,Escalation Procedure,Escalation path: Level 1 (team lead — same day); Level 2 (project manager — within 2 hours for critical); Level 3 (sponsor/steering committee — within 4 hours for showstopper). Escalation message must include: issue description; impact (cost/time/quality); options considered; recommended action; decision needed by.,escalation procedure path critical issue decision,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-010,communication,template,Decision Log Template,Decision log fields: Decision ID; Date; Decision made; Context/background; Options considered; Decision rationale; Made by (name/role); Approved by; Impact (requirements/design/budget/timeline); Follow-up actions; Status (open/decided/implemented).,decision-log template governance traceability,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-011,communication,template,Risk Register Template,Risk register fields: Risk ID; Description; Category (technical/resource/external/project); Probability (1-5); Impact (1-5); Risk Score (P x I); Status (open/mitigated/closed); Mitigation strategy; Contingency plan; Owner; Review date; Trigger (event that indicates risk is materializing).,risk-register template probability impact mitigation,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
COM-012,communication,template,Change Request Communication Template,Change request communication: Change ID and title; Requester and date; Description of change; Reason/business justification; Impact analysis (scope/schedule/budget/quality/dependencies); Options (implement as requested/partial/alternative/reject); Recommendation; Approval required from; Decision deadline.,change-request communication impact-analysis approval,ba-identity ba-facilitation ba-conflict,expert-knowledge/ba-communication
