entry_id,domain,type,title,content,tags,agents,source
AGL-001,agile,framework,Robertson's Real Problem Test,Biggest risk in software: building the wrong thing. Test: ask 'Why do you need this?' before writing any requirement. Stakeholder says 'I need XYZ' → BA discovers real problem is ABC → propose MVP → test → learn → iterate.,real problem test robertson why discovery root cause,ba-agile,ebooks/ebook-agile.md
AGL-002,agile,framework,Value Triangle,MVP sits at intersection of three forces: Business Value (ROI justification); Customer Need (what users actually need); Technical Feasibility (what can be built). Features outside this intersection waste resources.,value triangle MVP business value customer need technical feasibility,ba-agile,ebooks/ebook-agile.md
AGL-003,agile,technique,Just-in-Time Requirements,Do not write all requirements upfront. Clarify requirements only for next 1-2 sprints. Maintain continuous backlog refinement. Reduces wasted analysis on features that change or are cut. Defer decisions until last responsible moment.,just-in-time requirements JIT backlog refinement sprint defer,ba-agile,ebooks/ebook-agile.md
AGL-004,agile,technique,User Story Mapping Procedure,1) Identify user activities as backbone (horizontal axis); 2) Break each activity into user tasks; 3) Arrange tasks by priority vertically; 4) Draw MVP line — everything above = Release 1; 5) Group lower rows into subsequent releases. Reveals scope and release slices.,user story mapping backbone activities tasks MVP release slice,ba-agile,ebooks/ebook-agile.md
AGL-005,agile,template,Hypothesis-Driven Development Template,Template: 'We believe [feature] will achieve [outcome] for [user]. We will know this is true when [measurable metric].' Forces teams to define success before building. Prevents building features with no success criteria.,hypothesis driven development template outcome metric feature,ba-agile,ebooks/ebook-agile.md
AGL-006,agile,framework,Build-Measure-Learn Loop,Lean Startup cycle: BUILD (create smallest testable increment); MEASURE (collect data on real usage); LEARN (decide: pivot or persevere). Repeat. Minimizes time and cost of learning what customers actually value.,build measure learn loop lean startup pivot persevere,ba-agile,ebooks/ebook-agile.md
AGL-007,agile,checklist,Agile BA Checklist,Before sprint: 1) Asked 'Why?' before writing requirement? 2) Defined MVP? 3) Created User Story Map? 4) Written Hypothesis for new features? 5) Planned how to measure outcomes? All 5 must be true before development begins.,agile BA checklist sprint planning hypothesis story map MVP measurement,ba-agile,ebooks/ebook-agile.md
AGL-008,agile,framework,Risk-Driven vs Change-Driven Calibration,"Low uncertainty → Detailed specs acceptable (Waterfall OK). Medium uncertainty → Iterative development with prototypes and MVPs. High uncertainty → Experiments, spikes, A/B tests. Match process rigor to actual uncertainty level.",risk driven change driven uncertainty calibration waterfall agile experiment,ba-agile,ebooks/ebook-agile.md
AGL-009,agile,pattern,Timebox Iteration Pattern,Fix the time (sprint duration); vary the scope. Forces prioritization. Each iteration must produce working software. Review and adapt at end of each timebox. Prevents scope creep by making trade-offs explicit each sprint.,timebox iteration sprint fixed time variable scope prioritization,ba-agile,ebooks/ebook-agile.md
AGL-010,agile,technique,Agile Elicitation Approach,Progressive elaboration: broad strokes first (Epic → Story → Task). Use lightweight techniques: story writing workshops; example mapping; BDD scenarios. Avoid big upfront analysis. Validate assumptions through rapid prototypes.,agile elicitation progressive elaboration epic story BDD example mapping prototype,ba-agile,ebooks/ebook-agile.md
AGL-011,agile,definition,Minimum Viable Product (MVP),Smallest increment that delivers enough value to learn from real users. Not a minimal product — an experiment. Must have: clear hypothesis; defined success metric; real users; feedback loop. Different from prototype (throwaway) or pilot (limited rollout).,MVP minimum viable product experiment hypothesis success metric feedback,ba-agile,ebooks/ebook-agile.md
AGL-012,agile,pattern,Backlog Refinement Pattern,Ongoing activity (not a one-time meeting). Refine top backlog items to ready state: clear acceptance criteria; estimated; small enough for one sprint. Recommended: 10% of sprint capacity. Ensures sprint planning runs smoothly.,backlog refinement grooming acceptance criteria estimation ready sprint,ba-agile,ebooks/ebook-agile.md
AGL-013,agile,definition,Agile BA Role Definition,BA in Agile bridges product owner and development team. Responsibilities: decompose epics into stories; facilitate example mapping; create lightweight models; validate acceptance criteria; support sprint reviews. Not a documentation-first role.,agile BA role product owner bridge decompose stories models acceptance criteria,ba-agile,ebooks/ebook-agile.md
AGL-014,agile,technique,Example Mapping Technique,Workshop format for refining user stories: Yellow cards = Story; Blue cards = Rules (acceptance criteria); Green cards = Examples (concrete scenarios); Red cards = Questions (unknowns). Session ends when no red cards remain or questions are parked.,example mapping story rules examples questions acceptance criteria workshop,ba-agile,ebooks/ebook-agile.md
AGL-015,agile,pattern,Spike Pattern,Time-boxed research task to reduce technical or requirements uncertainty. Output is learning (not working code). Define: question to answer; time-box duration; definition of done. Schedule spike before committing to implementation estimate.,spike research uncertainty time-box learning technical discovery,ba-agile,ebooks/ebook-agile.md
