entry_id,domain,type,title,content,tags,agents,source
SYS-001,systems,definition,System Definition,A system is a set of elements interconnected in a way that produces its own pattern of behavior over time. Structure = Elements + Interconnections + Purpose. Elements are visible components; interconnections are relationships; purpose is the system's function.,system elements interconnections purpose behavior,ba-systems,ebooks/ebook-systems-thinking.md
SYS-002,systems,framework,Stocks and Flows,"Stock is an accumulation (e.g., bugs in backlog). Inflow adds to stock; Outflow removes from stock. If Inflow > Outflow consistently, stock grows without bound. Key insight: stocks act as buffers and provide system memory.",stocks flows inflow outflow accumulation buffer,ba-systems,ebooks/ebook-systems-thinking.md
SYS-003,systems,definition,Reinforcing Loop,Reinforcing (positive feedback) loop amplifies change in one direction — growth or collapse. Example: More sales → more revenue → more marketing budget → more sales. Can be virtuous (growth) or vicious (technical debt spiral).,reinforcing loop positive feedback growth snowball amplification,ba-systems,ebooks/ebook-systems-thinking.md
SYS-004,systems,definition,Balancing Loop,Balancing (negative feedback) loop resists change and seeks a goal or equilibrium. Example: Room temperature deviates → thermostat activates → temperature returns to target. Drives stability and goal-seeking behavior.,balancing loop negative feedback equilibrium stability thermostat,ba-systems,ebooks/ebook-systems-thinking.md
SYS-005,systems,framework,Leverage Points Level 1 — Parameters,Weakest leverage: Constants and parameters (numbers in the system). Example: changing a timeout from 30s to 60s. Easy to change but least impactful. Addresses symptoms not root cause.,leverage points parameters constants weak intervention,ba-systems,ebooks/ebook-systems-thinking.md
SYS-006,systems,framework,Leverage Points Level 2 — Structure,Mid-strength leverage: Buffer sizes (stock capacity) and structure of stocks and flows. Changing system architecture falls here. Example: switching to async processing changes the flow structure fundamentally.,leverage points structure stocks flows buffer capacity architecture,ba-systems,ebooks/ebook-systems-thinking.md
SYS-007,systems,framework,Leverage Points Level 3 — Feedback,Strong leverage: Strength of feedback loops; information flows; rules of the system (policies). Changing what information is available and when creates powerful behavioral shifts. Example: changing KPI from tickets closed to customer satisfaction.,leverage points feedback loops information flows rules policies KPI,ba-systems,ebooks/ebook-systems-thinking.md
SYS-008,systems,framework,Leverage Points Level 4 — Paradigm,Strongest leverage: Goals of the system; mindset or paradigm; power to transcend paradigms. Changing the shared belief about why the system exists drives transformation. Example: shifting from output-focused to outcome-focused culture.,leverage points paradigm mindset goals transformation highest impact,ba-systems,ebooks/ebook-systems-thinking.md
SYS-009,systems,pattern,Archetype — Fixes that Fail,Short-term fix relieves symptom but creates unintended side effects that worsen the original problem over time. Solution: identify root cause; accept short-term pain; resist symptomatic fixes. Common in software: quick patches that accumulate technical debt.,fixes that fail archetype workaround symptom root cause technical debt,ba-systems,ebooks/ebook-systems-thinking.md
SYS-010,systems,pattern,Archetype — Shifting the Burden,Problem-solvers become dependent on symptomatic solution while fundamental solution atrophies. Example: adding more QA testers instead of fixing defect-prone development process. Solution: strengthen the fundamental solution path.,shifting burden archetype dependency symptomatic fundamental solution,ba-systems,ebooks/ebook-systems-thinking.md
SYS-011,systems,pattern,Archetype — Limits to Growth,Growth reinforcing loop encounters a balancing constraint that limits further growth. Example: user adoption grows then plateaus due to performance degradation. Solution: identify the limiting constraint and address it proactively.,limits to growth archetype constraint ceiling growth plateau scalability,ba-systems,ebooks/ebook-systems-thinking.md
SYS-012,systems,pattern,Archetype — Tragedy of the Commons,Multiple actors share a common resource; each acts in self-interest; resource is depleted for all. Example: shared database without query governance. Solution: mutual coercion through rules or quotas.,tragedy commons archetype shared resource depletion governance quota,ba-systems,ebooks/ebook-systems-thinking.md
SYS-013,systems,pattern,Archetype — Escalation,Two actors each respond to the other's actions by increasing their own. Creates runaway arms race. Example: competing teams building redundant features. Solution: negotiate de-escalation or unilateral restraint.,escalation archetype arms race competition runaway feedback,ba-systems,ebooks/ebook-systems-thinking.md
SYS-014,systems,checklist,Delay Patterns in Systems,Delays between action and response cause oscillation and policy resistance. Decision-makers over-correct because they don't see results immediately. Key principle: account for delays before adding more intervention. Delays are often invisible leverage points.,delay oscillation response lag policy resistance overshoot intervention,ba-systems,ebooks/ebook-systems-thinking.md
SYS-015,systems,checklist,Systems Thinking Diagnosis Checklist,Before solving: 1) Draw Stocks and Flows diagram; 2) Identify Reinforcing and Balancing loops; 3) Find Leverage Points (not just symptoms); 4) Check for unintended consequences; 5) Account for delays in the system.,systems thinking checklist diagnosis stocks flows leverage unintended consequences,ba-systems,ebooks/ebook-systems-thinking.md
