entry_id,domain,type,title,content,tags,agents,source
PRI-001,prioritization,framework,Prioritization Technique Selection Guide,Technique selection: MoSCoW for quick categorization low effort early stages; Kano for UX/product feature expectations; WSJF for Lean/SAFe economic prioritization high objectivity; RICE for product management growth features; Cost of Delay for time-sensitive strategic decisions; Value/Effort for quick relative ranking sprint planning; 100-Point for stakeholder consensus workshops.,prioritization technique selection MoSCoW WSJF RICE Kano comparison,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-002,prioritization,framework,MoSCoW Method Definition,MoSCoW: Must Have (cannot go live without; legal/regulatory; core business; safety minimums); Should Have (important not critical; painful workaround exists); Could Have (nice to have; easy workaround; include if budget permits); Won't Have this time (explicitly out of scope; documented for future). Budget ratio: 60/20/10 Must/Should/Could.,MoSCoW must-have should-have could-have wont-have method prioritization,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-003,prioritization,definition,MoSCoW Must Have Test,"Must Have test: ""If we don't have this can we go live?"" → NO = Must Have. Characteristics: system cannot function without it; legal or regulatory requirement; core business process enabler; safety or security minimum. Typically 60% of effort budget. If everything is Must Have apply the 60% rule.",must-have MoSCoW test criteria go-live legal regulatory core,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-004,prioritization,definition,MoSCoW Should Have Test,"Should Have test: ""Is there a realistic workaround?"" → YES (but painful) = Should Have. Characteristics: important but not critical for launch; workaround exists but causes friction; significant business value; typically represents 20% of effort budget.",should-have MoSCoW test criteria workaround business-value,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-005,prioritization,definition,MoSCoW Could Have and Won't Have,"Could Have: ""Would users be disappointed without it?"" → Minor disappointment = Could Have. Nice to have; enhances experience; easy workaround; 10% of effort budget. Won't Have: ""Can this wait for next release?"" → YES. Explicitly out of scope; documented for future; manages expectations transparently.",could-have wont-have MoSCoW out-of-scope future-release scope-management,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-006,prioritization,checklist,MoSCoW Pitfalls and Solutions,MoSCoW pitfalls: Everything is Must (no prioritization → enforce 60/20/10 ratio); No Won't items (scope creep → require explicit Won't list); Stakeholder gaming (inflate to Must → use objective business rule criteria); Static categories (priorities change → re-evaluate each release).,MoSCoW pitfalls scope-creep ratio gaming static solutions,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-007,prioritization,formula,WSJF Formula Weighted Shortest Job First,WSJF = Cost of Delay / Job Duration. Cost of Delay = User/Business Value + Time Criticality + Risk Reduction/Opportunity Enablement. All components scored 1-20 using modified Fibonacci (1 2 3 5 8 13 20). Job Size scored 1-20 relative effort. Higher WSJF = higher priority. SAFe standard.,WSJF formula SAFe cost-of-delay job-size fibonacci prioritization,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-008,prioritization,definition,WSJF Cost of Delay Components,WSJF Cost of Delay has 3 components: 1.User/Business Value (1-20): revenue potential cost savings market share protection; 2.Time Criticality (1-20): deadline exists value decays over time competitive pressure; 3.Risk Reduction/Opportunity Enablement (1-20): reduces risk for other features enables future revenue technical debt reduction.,WSJF cost-of-delay business-value time-criticality risk-reduction components,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-009,prioritization,example,WSJF Scoring Example,WSJF example: Feature B (BV=8 TC=13 RR=8 CoD=29 Size=3 WSJF=9.7 Rank1) beats Feature A (BV=13 TC=8 RR=5 CoD=26 Size=5 WSJF=5.2 Rank2). Decision order B→A→D→C. Workshop: calibrate scale first; use relative sizing; timebox 2min per feature; average if no consensus.,WSJF example scoring ranking workshop relative-sizing fibonacci,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-010,prioritization,framework,Kano Model Five Categories,Kano Model categories: Basic/Must-be (expected taken for granted; absence = dissatisfaction; presence = neutral); Performance/One-dimensional (more = more satisfaction linear); Delighters/Attractive (unexpected; absence = neutral; presence = high satisfaction); Indifferent; Reverse (some users dislike feature). Over time: Delighters→Performance→Basic.,Kano model categories basic performance delighter indifferent reverse satisfaction,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-011,prioritization,definition,Kano Basic Must-Be Requirements,Kano Basic (Must-be): customers expect these; won't thank you for having them but WILL punish you for missing. Examples: login security data saving stable performance. These must be satisfied before investing in delighters. Absence causes dissatisfaction regardless of other features.,Kano basic must-be expectations hygiene factors dissatisfaction threshold,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-012,prioritization,definition,Kano Performance One-Dimensional,Kano Performance: linear relationship between implementation level and satisfaction. More = better satisfaction; less = less satisfaction. Examples: load time search accuracy price. Investment in these produces proportional return. Benchmark against competitors to set targets.,Kano performance one-dimensional linear satisfaction benchmark competitive,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-013,prioritization,definition,Kano Delighters Attractive Features,Kano Delighters (Attractive): customers didn't know they wanted it but love it when present. High impact on satisfaction with relatively low effort. Examples: proactive suggestions auto-fill personalization. Key insight: over time delighters become performance features then basic (commoditization). First-mover advantage.,Kano delighter attractive excitement unexpected satisfaction commoditization,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-014,prioritization,formula,RICE Formula,RICE Score = (Reach × Impact × Confidence) / Effort. Reach = users/transactions per time period (actual count). Impact scale: 3=Massive 2=High 1=Medium 0.5=Low 0.25=Minimal. Confidence: 100%=data-backed 80%=some data 50%=gut feeling. Effort = person-months. Higher score = higher priority.,RICE formula reach impact confidence effort prioritization product-management,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-015,prioritization,example,RICE Calculation Example,RICE example: One-click buy (50000 users × 2 impact × 80% × /3 months = 26667); Wish list (30000 × 1 × 80% / 1 = 24000); Dark mode (20000 × 0.5 × 100% / 1 = 10000); AI recommend (50000 × 2 × 50% / 8 = 6250). Insight: AI drops due to low confidence and high effort despite high reach.,RICE example calculation confidence effort penalize wishful-thinking,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-016,prioritization,definition,Cost of Delay Linear Profile,Cost of Delay Linear (Standard): constant value per unit time; each week of delay costs same amount. Example $10K/week lost revenue. Use when feature has stable ongoing value. Calculate: expected revenue per month × delay months. If CoD > development cost prioritize aggressively.,cost-of-delay linear standard profile calculation revenue WSJF,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-017,prioritization,definition,Cost of Delay Urgent Deadline Profile,Cost of Delay Urgent (Deadline): full value before deadline; drops to zero after. Miss the window lose everything. Examples: seasonal features regulatory deadlines competitive windows. Must be delivered on time or deprioritized entirely. Drive with binary decision: can we hit the deadline?,cost-of-delay urgent deadline binary profile seasonal regulatory competitive,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-018,prioritization,definition,Cost of Delay Fixed Date and Decay Profiles,Cost of Delay Fixed Date: no value before launch date then full value (regulatory compliance contract deadlines). Intangible/Decay: value decays over time; first-mover advantage; competitive features. Four profiles: Linear Urgent Fixed-Date Decay. Match profile to feature type for accurate WSJF.,cost-of-delay fixed-date decay profiles first-mover competitive WSJF SAFe,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-019,prioritization,formula,Cost of Delay Calculation Factors,Cost of Delay factors: Revenue Gain (expected revenue/month × delay months); Revenue Protection (at-risk revenue × probability of loss); Cost Savings (monthly savings × delay months); Cost of Workaround (manual effort cost/month × delay months); Penalty/Fine (regulatory penalty if missed); Competitive Loss (market share loss × CLV).,cost-of-delay calculation revenue savings penalty competitive factors,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
PRI-020,prioritization,framework,Value Effort Matrix,Value/Effort 2x2 Matrix: Q1 Quick Wins (high value low effort → DO FIRST); Q2 Big Bets (high value high effort → plan strategically); Q3 Fill-Ins (low value low effort → do if capacity allows); Q4 Time Sinks (low value high effort → AVOID unless required). Priority order: 1→2→3→4.,value-effort matrix quick-wins big-bets fill-ins time-sinks prioritization,ba-prioritization,docs/knowledge_base/specialized/prioritization.md
