entry_id,domain,type,title,content,tags,agents,source
TRC-001,traceability,definition,Why Traceability Matters,Without traceability: unknown scope; manual change impact checking; uncertain test coverage; orphaned code. With traceability: know exactly what is affected by any change; prove all requirements are implemented/tested; verify scope; show provenance of every feature; find gaps orphans and gold-plating.,traceability benefits scope coverage impact orphan gold-plating audit,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-002,traceability,definition,Forward Traceability,"Forward traceability traces from requirements downstream to implementation and tests. Direction: Requirement → Design → Code → Test Cases. Answers: ""Where is this requirement implemented?"" and ""How is this requirement tested?"" Ensures all requirements are built and verified. Detects unimplemented requirements.",forward-traceability downstream implementation test-cases requirement coverage,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-003,traceability,definition,Backward Traceability,"Backward traceability traces from implementation artifacts upstream to requirements and business goals. Direction: Code → Design → Requirement → Business Need → Business Goal. Answers: ""Why does this exist?"" and ""What business need justifies this code?"" Detects gold-plating (code without requirements).",backward-traceability upstream business-goal justification gold-plating source,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-004,traceability,definition,Bidirectional Traceability,Bidirectional traceability maintains links in both forward and backward directions simultaneously. Enables full impact analysis when any artifact changes. Required for: regulatory compliance (FDA IEC62304 DO-178C); large complex systems; formal change control. RTM supports bidirectional tracing.,bidirectional-traceability both-directions RTM impact regulatory compliance full-chain,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-005,traceability,definition,Traceability Types Matrix,"5 traceability types: Backward to Source (FR←SR←BR ""why does this exist""); Forward to Implementation (FR→Design→Code ""where is this built""); Forward to Test (FR→Test Cases ""how is this tested""); Vertical between levels (Business→Stakeholder→Solution); Horizontal between peers (FR↔UC↔UI Screen).",traceability-types matrix backward forward vertical horizontal peer,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-006,traceability,template,RTM Template Structure,RTM columns: REQ ID; Requirement Description; Priority (MoSCoW); Source (BR/SR reference); Design Ref; Code Module; Test Cases; Status; Owner; Release. Coverage dashboard shows: Backward Trace %; Design Coverage %; Implementation Coverage %; Test Coverage %. Status summary: Verified/In-Progress/Pending/Deferred/Rejected counts.,RTM template columns coverage dashboard status requirements-traceability-matrix,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-007,traceability,definition,RTM Traceability Attributes,RTM key attributes: REQ ID (unique identifier); Source (originating BR or SR); Priority (MoSCoW); Design Ref (design document section); Code Module (implementing file/component); Test Cases (TC IDs that verify); Status (lifecycle state); Owner (responsible BA/developer); Release (target release version).,RTM attributes source priority design code test status owner release,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-008,traceability,definition,Requirement Status Lifecycle,Status definitions: Draft (written not reviewed → submit for review); Under Review (being reviewed → complete review); Approved (stakeholder approved → begin design); Designed (design complete → begin implementation); In Progress (coding ongoing); Implemented (code complete → testing); Under Test (testing in progress); Verified (test passed); Rejected; Deferred; Pending.,requirement-status lifecycle draft approved implemented verified deferred RTM,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-009,traceability,definition,Traceability Chain End-to-End,Full chain: Business Goals → KPIs; Stakeholder Needs → Use Cases; Functional Requirements → Test Cases; Design Specs → API Specs; Code Modules → Unit Tests. Every artifact links to predecessors and successors. Break in chain = traceability gap = risk.,traceability-chain end-to-end business-goals requirements design code tests,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-010,traceability,definition,Blast Radius Analysis,Blast radius = scope of impact when a requirement changes. Analysis steps: 1.Identify changed requirement; 2.Trace backward (upstream impact on BR/SR); 3.Trace forward (downstream impact on design code tests docs); 4.Trace horizontal (peer requirements using same component/data); 5.Estimate effort; 6.Document and present to CCB.,blast-radius impact-analysis change-management downstream upstream scope,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-011,traceability,framework,Impact Analysis 6-Step Process,Impact analysis process: Step 1 Identify affected requirements (what is changing add/modify/delete); Step 2 Trace Backward (upstream business requirements stakeholder needs alignment check); Step 3 Trace Forward (design code test documentation affected); Step 4 Trace Horizontal (peer requirements dependencies interfaces); Step 5 Estimate effort and risk; Step 6 Document and present to CCB for decision.,impact-analysis 6-steps backward forward horizontal effort CCB change,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-012,traceability,template,Impact Analysis Report Template,IAR sections: 1.Change Description (CR number requirement current/proposed state reason); 2.Affected Items (backward trace table; forward trace table with effort; horizontal trace table); 3.Effort Summary (requirements/design/dev/testing/documentation hours total); 4.Risk Assessment (likelihood/impact/mitigation); 5.Recommendation (Approve/Reject/Defer with rationale and approvals).,impact-analysis-report template CCB effort risk recommendation approval,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-013,traceability,framework,Change Control 5-Step Process,Change control: Step 1 Request (requestor submits CR; BA logs with unique ID; categorize type/priority; assign analyst; status→Under Analysis); Step 2 Analyze (clarify with requestor; perform impact analysis; estimate effort/cost; identify risks; document IAR; status→Assessed); Step 3 Review/Decide (present to CCB; discuss trade-offs; Approve/Reject/Defer; document rationale); Step 4 Implement (update requirements/design/code/RTM/tests); Step 5 Verify/Close (verify correct; regression test; update docs; notify requestor; close CR).,change-control 5-steps CCB CR request analyze review implement verify,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-014,traceability,definition,Change Request Form Fields,CR form fields: CR Number; Date; Requestor; Project; Release; Change Type (New/Modify/Delete/Defect/Enhancement/Clarification); Affected Requirement IDs; Current State description; Proposed Change description; Business Justification; Priority (Critical/High/Medium/Low); Requested Date; BA fields (Analyst assigned Date received Status Impact Analysis Ref).,change-request CR form fields type priority justification status,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-015,traceability,definition,Change Request Priority Levels,CR priority: Critical/Blocking (complete outage/security breach → respond immediately); High (major functionality impaired → fix this sprint); Medium (important improvement with workaround → plan next sprint); Low (minor enhancement cosmetic → backlog). Priority determines CCB meeting urgency and SLA for resolution.,CR-priority critical high medium low blocking SLA urgency CCB,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-016,traceability,definition,Requirements Baseline Definition,Baseline = formal approved snapshot of requirements at a point in time. Once baselined requirements are FROZEN; all changes require approved CR. Baseline rules: no changes without approved CR; version number incremented; previous baselines archived never deleted; all stakeholders notified.,baseline definition frozen approved snapshot version change-control rules,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-017,traceability,definition,Baseline Lifecycle States,Baseline lifecycle: Draft (working version editable) → Reviewed (review complete) → Approved (sign-off obtained) → Baselined (frozen read-only). Typical baselines: BL-1.0 initial after BRD approval; BL-1.1 after major change incorporated; BL-2.0 release 2.0 requirements. Archive all previous baselines.,baseline lifecycle draft reviewed approved frozen version archive,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-018,traceability,definition,Version Numbering Convention,Version numbering: Major scope change X.0→Y.0 (e.g. 1.0→2.0); Significant addition X.Y→X.Y+1 (1.0→1.1); Minor correction X.Y.Z→X.Y.Z+1 (1.0.0→1.0.1); Draft iteration X.Y-draft.N (1.0-draft.3). Apply consistently across requirements documents design specs and RTM.,version-numbering convention major minor patch draft baseline requirements,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-019,traceability,formula,Traceability Coverage Metrics,Coverage metrics: Backward Coverage = Reqs with Source / Total × 100% (target 100% red flag <95%); Forward Coverage = Reqs with Test / Total × 100% (target 100%); Orphan Rate = Orphans / Total × 100% (target 0% red flag >5%); Change Volume = CRs per Month (watch for increasing trend); CR Cycle Time target <5 days red flag >10 days; CR Approval Rate target 70-80%.,traceability-metrics coverage backward forward orphan CR-cycle-time approval-rate,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-020,traceability,definition,Orphan Requirements,Orphan requirement = requirement with no traceable source (no backward link to business need). Indicates: out-of-scope requirement; missing stakeholder need documentation; gold-plating. Action: validate with stakeholder if requirement is needed; if yes add source link; if no remove or defer. Orphan rate target = 0%.,orphan-requirement no-source gold-plating backward-trace validation scope,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-021,traceability,definition,Gold Plating Detection,Gold plating = code or design features without corresponding requirements. Detected by tracing forward: does every code module trace back to an approved requirement? If not: gold plating. Risks: unvalidated features; untested scope; maintenance burden; security vulnerabilities. Eliminate or formalize as requirements.,gold-plating forward-trace unauthorized-feature scope-creep detection maintenance,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-022,traceability,definition,Change Impact Assessment Categories,Impact categories when CR received: Requirements Impact (which requirements change); Design Impact (which design docs/components affected); Development Impact (which code modules need update); Testing Impact (which test cases need update or new TCs needed); Documentation Impact (user guides API docs); Deployment Impact (config schema migration needed).,change-impact categories requirements design development testing documentation deployment,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-023,traceability,definition,Change Control Board CCB,CCB (Change Control Board): decision-making body for requirement changes post-baseline. Members: BA Lead (facilitates); Tech Lead (technical impact); Product Owner (business decision); Project Manager (schedule cost impact); QA Lead (testing impact). Quorum required for approval. Document all decisions with rationale.,CCB change-control-board members quorum decision approval governance,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-024,traceability,definition,Traceability Tool Selection Matrix,Tool selection: Jira (agile integration ecosystem; Epic→Story→Subtask custom links); Azure DevOps (Microsoft stack CI/CD; work item linking query RTM); DOORS (complex regulatory aerospace defense medical; native traceability baselines); Confluence (documentation collaboration; labels links limited); Airtable/Notion (flexible small teams PoCs); Excel (universal simple projects manual).,traceability-tools Jira Azure-DevOps DOORS Confluence Excel selection,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-025,traceability,definition,Jira Traceability Configuration,"Jira hierarchy: Business Requirement (BR-xxx) → Epic (EPIC-xxx) → User Story (US-xxx) → Task (TASK-xxx)/Bug (BUG-xxx); Test Case (TC-xxx via Zephyr/Xray). Link types: ""implements/is implemented by"" (FR→Code); ""tests/is tested by"" (FR→TC); ""derives from/is parent of"" (BR→FR); ""depends on/blocks"" (FR→FR). RTM via JQL export.",Jira traceability configuration hierarchy link-types RTM Zephyr Xray setup,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-026,traceability,definition,Azure DevOps Traceability Setup,Azure DevOps work item hierarchy: Feature (Business Req) → Product Backlog Item/User Story (Functional Req) → Task (Implementation) + Test Case (Verification) + Bug (Defect). Link types: Parent/Child (hierarchical); Tests/Tested By; Related. RTM via WIQL query: SELECT from WorkItemLinks WHERE Source.WorkItemType=Feature MODE(Recursive).,Azure-DevOps traceability work-items hierarchy WIQL RTM configuration,ba-traceability,docs/knowledge_base/specialized/traceability.md
TRC-027,traceability,checklist,Traceability Setup Checklist,RTM setup: RTM created with standard columns; all requirements have unique IDs; traceability approach defined (tool manual hybrid); link types established; status definitions documented. Maintenance: all requirements trace backward to source; all trace forward to design/test; no orphans; no untested requirements; no gold plating; RTM updated when requirements change; regular health checks.,traceability-checklist setup maintenance orphan gold-plating coverage health-check,ba-traceability,docs/knowledge_base/specialized/traceability.md
