entry_id,domain,type,title,content,tags,agents,source
CMP-001,compliance,definition,GDPR Overview and Scope,GDPR applies to any organization processing personal data of EU residents regardless of where the organization is located. Personal data = any info relating to identified or identifiable natural person. Key obligations: lawful basis; data subject rights; DPO appointment; breach notification; DPIA for high-risk processing.,gdpr personal-data eu privacy compliance,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-002,compliance,checklist,GDPR 8 Data Subject Rights Requirements,"Eight rights: 1.Right to be informed (privacy notice); 2.Right of access (within 30 days); 3.Right to rectification; 4.Right to erasure (right to be forgotten); 5.Right to restrict processing; 6.Right to data portability (machine-readable format); 7.Right to object; 8.Rights related to automated decision-making. System must support all 8.",gdpr rights data-subject erasure portability access,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-003,compliance,pattern,GDPR Consent Requirements Pattern,Valid consent must be: freely given (no bundled consent); specific (per purpose); informed (clear plain language); unambiguous (affirmative action — no pre-ticked boxes); withdrawable (as easy to withdraw as to give). Store consent record: who/when/what/how. Re-consent required if purpose changes.,gdpr consent requirements pattern lawful-basis,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-004,compliance,template,GDPR Data Processing Agreement Requirements,DPA requirements between controller and processor: subject matter and duration of processing; nature and purpose; type of personal data and categories of data subjects; obligations of processor (process only on instructions; confidentiality; security measures; sub-processor approval; assist with rights requests; delete/return data on termination).,gdpr dpa data-processing-agreement controller processor,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-005,compliance,template,GDPR DPIA Requirements,DPIA required when: large-scale processing of sensitive data; systematic profiling; processing of public area data (CCTV at scale). DPIA content: description of processing; necessity and proportionality assessment; risk assessment; risk mitigation measures. Must be done before processing begins.,gdpr dpia risk-assessment privacy-impact high-risk,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-006,compliance,pattern,GDPR Breach Notification Requirements,Data breach notification: to supervisory authority within 72 hours of becoming aware (if risk to individuals); to affected individuals without undue delay (if high risk). Notification content: nature of breach; categories and approximate number of individuals/records affected; likely consequences; measures taken.,gdpr breach-notification 72-hours supervisory-authority,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-007,compliance,pattern,GDPR Data Retention Requirements Pattern,Data retention requirements: define retention period per data category; legal basis for retention period; deletion or anonymization process after retention expires; retention schedule reviewed annually; backups purged per schedule; audit log of deletions; exceptions for legal hold.,gdpr data-retention deletion anonymization schedule,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-008,compliance,pattern,GDPR Right to Erasure (Right to be Forgotten),Right to erasure applies when: data no longer necessary; consent withdrawn; objection upheld; unlawfully processed. System requirements: erasure within 30 days; cascade to processors/third parties; anonymization as alternative to deletion; audit trail of erasure; exceptions for legal obligation/public interest.,gdpr erasure right-to-be-forgotten deletion requirements,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-009,compliance,pattern,GDPR Data Portability Requirements,Data portability: provide personal data in structured/commonly used/machine-readable format (JSON/CSV); direct transfer to another controller on request; applies only to data provided by subject and processed by consent or contract; response within 30 days.,gdpr data-portability json export machine-readable,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-010,compliance,framework,PCI-DSS 12 Requirements Summary,PCI-DSS 12 requirements: 1.Network security controls; 2.Secure configurations; 3.Protect stored account data; 4.Protect data in transit (TLS); 5.Protect against malware; 6.Secure software development; 7.Restrict access by need-to-know; 8.Identify users and authenticate; 9.Restrict physical access; 10.Log and monitor; 11.Test security; 12.Security policy.,pci-dss compliance requirements payment-card security,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-011,compliance,pattern,PCI-DSS Encryption Requirements,PCI-DSS encryption: cardholder data encrypted at rest (AES-256); transmission over open networks encrypted (TLS 1.2+ minimum); PAN masked when displayed (first 6/last 4 digits max); no PAN in logs; encryption keys managed separately from encrypted data; key rotation annually.,pci-dss encryption pan cardholder-data tls aes,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-012,compliance,pattern,PCI-DSS Access Control Requirements,PCI-DSS access: unique ID for each user (no shared accounts); MFA for all non-console administrative access; MFA for all remote access; access restricted to need-to-know; vendor access enabled only when needed and monitored; access review quarterly.,pci-dss access-control mfa least-privilege vendor-access,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-013,compliance,checklist,PCI-DSS Audit Trail Requirements,Audit log requirements: log all access to cardholder data; all admin actions; all access to audit logs; invalid access attempts; authentication events. Retention: 12 months minimum (3 months immediately available). Log fields: user ID/date-time/event type/component/success or failure.,pci-dss audit-log compliance monitoring retention,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-014,compliance,definition,HIPAA PHI Definition and Scope,PHI (Protected Health Information): individually identifiable health information in any form (electronic/paper/oral). 18 HIPAA identifiers including: name; address; dates (except year); phone; SSN; medical record number; health plan number; device identifiers. De-identification requires removing all 18 or expert statistical method.,hipaa phi definition identifiers healthcare compliance,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-015,compliance,pattern,HIPAA Minimum Necessary Rule,Minimum necessary: covered entities must make reasonable efforts to limit PHI disclosure to minimum necessary for purpose. Requirements: role-based access to PHI; access justified by job function; bulk queries to PHI require approval; audit PHI access; workforce training on minimum necessary.,hipaa minimum-necessary phi access-control healthcare,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
CMP-016,compliance,template,HIPAA Business Associate Agreement Requirements,BAA required when vendor handles PHI. BAA must include: permitted uses/disclosures; safeguard requirements (HIPAA Security Rule); sub-contractor BAA requirement; breach notification obligation (within 60 days); return/destroy PHI on termination; cooperation with compliance reviews.,hipaa baa business-associate-agreement phi vendor,ba-nfr ba-validation,expert-knowledge/regulatory-compliance
