entry_id,domain,type,title,content,tags,agents,source
ELC-001,elicitation,framework,"Iceberg Effect — Stakeholder Information Layers","Only 10% of stakeholder needs are explicitly stated (what they SAY). 30% is tacit knowledge they know but don't think to mention. 40% are latent needs discovered through probing. 20% is political/sensitive info requiring trust. IMPLICATION: Never stop at surface-level answers — use probing to uncover the 90%.",iceberg hidden needs tacit latent political probing stakeholder information,ba-elicitation ba-facilitation,docs/knowledge_base/core/elicitation.md
ELC-002,elicitation,definition,"Cognitive Bias: Curse of Knowledge","Experts forget what beginners don't know and assume shared context. COUNTERMEASURE: Ask them to explain as if to a new hire. Use examples. Request step-by-step walkthroughs. Never assume shared vocabulary.",curse knowledge expert assumption bias countermeasure walkthrough,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-003,elicitation,definition,"Cognitive Bias: Hindsight Bias","Stakeholders say 'It's obvious' only after the fact, making requirements seem trivial. COUNTERMEASURE: Document predictions BEFORE outcomes. Ask 'How would someone NOT familiar with this know?' Record decisions with context at the time.",hindsight bias obvious trivial prediction documentation timing,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-004,elicitation,definition,"Cognitive Bias: Availability Bias","Stakeholders recall dramatic or recent events over routine processes. COUNTERMEASURE: Ask about typical day, not just memorable incidents. Use observation to see actual behavior. Ask about frequency and volume.",availability bias recall dramatic routine observation frequency,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-005,elicitation,definition,"Cognitive Bias: Confirmation Bias","Stakeholders (and BAs) hear what confirms existing beliefs, filtering out contradictory information. COUNTERMEASURE: Actively seek disconfirming evidence. Ask 'What would change your mind?' Take verbatim notes, not summaries.",confirmation bias filter beliefs contradictory evidence verbatim,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-006,elicitation,definition,"Cognitive Bias: Anchoring","First number or option mentioned becomes the reference point for all subsequent estimates. COUNTERMEASURE: Avoid proposing solutions first. Ask for estimates before revealing benchmarks. Use ranges, not single figures.",anchoring first number estimate benchmark range bias countermeasure,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-007,elicitation,technique,"Building Psychological Safety — 5 Techniques","1. ACKNOWLEDGE EXPERTISE: 'You know this process better than anyone. I'm here to learn.' 2. NORMALIZE GAPS: 'It's normal not to have all answers.' 3. SHOW VULNERABILITY: 'I don't fully understand X yet. Can you help me?' 4. VALIDATE CONCERNS: 'That's a legitimate concern. Let's address it.' 5. PROTECT CONFIDENCES: 'What you share stays with the project team only.'",psychological safety trust rapport vulnerability normalize confidentiality,ba-elicitation ba-facilitation,docs/knowledge_base/core/elicitation.md
ELC-008,elicitation,formula,"Trust Equation for Elicitation","Trust = (Credibility + Reliability + Intimacy) / Self-Orientation. High trust requires high numerator AND low denominator. PRACTICAL: Focus on THEIR needs and agenda, not yours. Demonstrate reliability by following through on commitments. Build intimacy by remembering context from prior sessions.",trust equation credibility reliability intimacy self-orientation formula,ba-elicitation,docs/knowledge_base/core/elicitation.md
ELC-009,elicitation,framework,"Technique Selection Matrix","Many stakeholders + Low depth: Surveys, Document Analysis. Many stakeholders + High depth: Workshops, Focus Groups. Few stakeholders + Low depth: Interface Analysis, Questionnaires. Few stakeholders + High depth: Interviews, Observation, Prototyping, User Stories. Match technique to audience size and depth needed.",selection matrix stakeholder count depth interview workshop survey observation,ba-elicitation ba-facilitation,docs/knowledge_base/core/elicitation.md
ELC-010,elicitation,framework,"Technique Comparison Table","Interview: depth 5/5, scale low, skill high, output qualitative. Observation: depth 5/5, scale low, output qualitative. Survey: depth 2/5, scale high, output quantitative. Workshop: depth 3/5, scale medium, output mixed. Prototyping: depth 4/5, output visual. Document Analysis: depth 3/5, output structured. Use depth vs scale tradeoff to select technique.",comparison depth scale skill output tradeoff selection,ba-elicitation,docs/knowledge_base/core/elicitation.md
